D94.	Transformation: man to ogre.
G100.	Giant ogre.
G200.	Witch.
G400.	Person falls into ogre's power.
G304.1.	Appearance of troll (ogre). (Cf.
F455.2.	)
G304.1.1.	Troll in animal form.
G304.1.1.1.	Troll as fox. Fb “ræv” III 113a.
D113.3.	Transformation: man to fox.
G304.1.1.2.	Troll as hare. Fb “hare" I 556.
D117.2.	Transformation: man to hare.
G304.1.1.3.	Troll as goose. Fb "gås” I 528b.
D164.	Transformation: man to goose.
G304.1.1.4.	Troll as crow. Fb “krage" II 285b.
D151.4.	Transformation: man to crow.
G304.1.2.	Troll in form of object.
G304.1.2.1.	Troll in form of cloud. Fb "sky”.
G304.1.2.2.	Troll in form of key. Fb "nögle” II 723.
G304.1.3.	Many-headed troll. Fb “hoved” I 654b, “trold” III 852b.
B15.1.2.	Many-headed animal.
B11.2.3.	Many-headed dragon.
F511.0.2.	Person with more than one head.
F531.1.2.2.	Many-headed giant.
G215.1.	Seven-headed witch.
G304.2.	Characteristics of trolls.
G304.2.1.	Fire-producing troll.
G304.2.1.1.	Troll lights fingers. Fb "lys” 483b.
G304.2.1.2.	Troll stretches neck so long that fire comes from lips. Fb “hals" I 540.
G304.2.2.	Troll's food.   ## p. 346 (#364) ############################################  346 Motif-Index of Folk-Literature
G304.2.2.1.	Troll's food gives men strength. Fb "mad” II 525a; *DF XLVI 66ff.
D1335.1.	Magic strength-giving food.
G304.2.3.	Special powers of troll.
G304.2.3.1.	Locks spring open for troll. Fb "lås" II 523a.
D2121.12.	Power to go through closed doors.
G304.2.4.	Antipathies of trolls.
G304.2.4.1.	Trolls cannot endure churchbells. Fb "kirkeklokke" II 130b; Icelandic: Arnason Legends of Iceland (London, 1864) I 120, 124, Boberg; Swedish: Grimm Deutsche Mythologie II 798 n. 1; Finnish- Swedish: Landtman Finlands Svenska Folkdiktning VII 560.
C713.1.	Tabu: merman's wife not to stay till church benediction. 01766.7.1. Evil spirits conjured away in name of deity.
E434.1.	Hiding from ghosts under church bell.
F382.	Exorcising fairies.
F420.5.3.5.	Nix flees from benediction in church.
F460.4.6.	Failure to bless mountains gives mountain-men power.
G285.	Witches avoid religious ceremonies.
G303.16.12.	Ringing of church bell causes devil to lose his power. v15. Churchbells.
G304.2.4.2.	Trolls afraid of bears. Danish: Kristensen Danske Sagn I (1892) 434–37.
G304.2.5.	Troll bursts when sun shines on him. Or he may become stone. *Fb “sol” III 356a; Icelandic: Arnason Icelandic Legends (London, 1864) I 122, Boberg.
C961.2.	Transformation to stone for breaking tabu.
F451.3.2.1.	Dwarts turn to stone at sunrise. See also other cross references there given.
G304.3.	Troll's possessions.
G304.3.1.	Troll's castle.
F455.1.	Home of trolls. ogres possess castle.
F771.4.1.	Castle inhabited by ogres. Gill, Giant
G304.3.1.1.	Golden door to troll's castle. Fb "guldport” I 514.
F782.2.	Door of precious stones.
G304.3.2.	Troll's animals.
G304.3.2.1.	Troll has team of mice. Fb "mus" II 631b.
B292.	Animal in service to man.
B557.	Unusual animal as riding-horse.
G241.1.	Witch rides unusual animal.
G304.3.2.2.	Troll drives two he-goats. *Fb "gjedebuk" I 440.
G304.3.2.3.	Troll has bear in stable. *Fb "bjørn” IV 43a.
G304.3.2.4.	Troll has hares in stable. *Fb “hare" I 556b.
G305.	Earl king. Child-stealing ogre. (Cf.
F321.5.	) Type 367*.
G306.	Rainbow as ogre. Africa: Werner African 236.
G307.	Jinn. India: Thompson-Balys.
G307.1.	Where jinn comes from.
G307.1.1.	Jinn always appears out of strong wind. India: Thompson- Balys.
G307.2.	Form of jinn.
G307.2.1.	Jinn can take any human form he chooses. India: Thompson- Balys.   ## p. 347 (#365) ############################################  G. Ogres 347
G307.2.2.	Jinn unseen by anyone except person(s) he wishes should see him. India: Thompson-Balys.
G307.3.	Jinn kills whoever tries to occupy house he has chosen to live in. India: Thompson-Balys.
G307.4.	City infested by jinns deserted. India: Thompson-Balys.
G308.	Sea monster. Irish myth: *Cross; Icelandic: Boberg; Persian: Carnoy 325; Jewish: Neuman.
B17.2.1.	Hostile sea-beasts.
B60.	Mythical fish.
B91.5.	Sea-serpent.
B251.2.8.	Sea-monster honors saint above all others.
B875.1.	Giant ser- pent.
B877.1.	Giant sea monster.
F420.	Water-spirits.
F911.4.	Jonah.
G308.1.	Fight with sea (lake) monster. Irish myth: *Cross; Icelandic: Boberg.
A531.	Culture hero (demigod) overcomes monsters.
B11.11.	Fight with dragon.
B16.5.1.2.	Devastating (man-eating) sea-monster (serpent).
B17.2.1.	Hostile sea-beasts.
V229.4.	Saint overcomes monsters (dragons).
G308.2.	Water-monster. Irish myth: *Cross.
G308.3.	Herds of sea monsters on surface of sea. Irish myth: Cross.
G308.4.	Lake made dangerous by haunting serpent (dragon, péist). Irish myth: *Cross.
B11.3.1.1.	Dragon lives in lake.
B11.7.2.	Dragon guards lake.
B91.5.2.	Lake-serpent (monster).
C615.2.	Hero not to swim in certain lake.
G308.5.	Shark-man ogre, eater of children swimming. Hawaii: Beckwith Myth 191; Tuamotu: Stimson MS (z-G. 13/346).
G308.6.	Lake monster has power to attract victims. Eskimo (Kodiak): Golder JAFL XXII 22.
F421.	Lake monster.
G308.7.	Clam shell invites man down into sea so he can be eaten. Eski- mo (Greenland): Rasmussen III 97.
G308.8.	Monsters of the sea: two whales of human parentage. Tuamotu: Stimson MS (T-G 3/912).
G308.9.	Demon-octopus. Tuamotu: Beckwith Myth 289; Marquesas: Handy 76.
G310.	Ogres with characteristic methods.
E261.1.	Wandering skull.
F471.1.	The Nightmare (Alp).
F471.2.	Incubus. A demon who comes in sleep and has sexual intercourse with one.
G100.	Giant ogre.
H1510.	Tests of power to survive. Vain attempts to kill hero.
R261.1.	Pursuit by rolling head.
G311.	old man of the sea. Burr-woman. Ogre who jumps on one's back and sticks there magically. *Chauvin VII 23 No. 373E; Fb “ryg” III 103ab; *Basset 1001 Contes I 190; Estonian: Aarne FFC XXV 126 No. 58; Greek: Grote I 7; Eskimo (Central): Boas RBAE VI 626; N. A. In- dian: *Thompson Tales 330 n. 191e; Africa (Luba): DeClerq Zs. f. Kolonialsprachen IV 226.
D2171.2.	Magic adhesion to monster (witch, ogre, etc.)
E262.	Ghost rides on man's back.
E501.15.3.	Wild huntsman makes people carry him on their backs.
F472.	Huckauf. A goblin which jumps on one's back.
K800.	Fatal deception.
G312.	Cannibal ogre. India: *Thompson-Balys; Buddhist myth: Malala- sekera I 109, 291, 1113, II 950; Mono-Alu: Wheeler 14, 21.
G10.	Cannibalism. 262.0.1. Lamia: witch who eats children.
G346.	De. vastating monster. Lays waste to the land.
G512.	Ogre killed.   ## p. 348 (#366) ############################################  348 Motif-Index of Folk-Literature
G312.1.	Piśāca. Drinks blood and eats human flesh. Eats corpses and makes living waste away. Hindu: Keith 98, 157.
G20.	Ghouls. Persons eat corpses.
G262.1.	Witch sucks blood.
G312.2.	Spirit-woman in rock devours men and cattle. India: Thompson- Balys.
G312.3.	Flesh-eating spirits live in trees. India: Thompson-Balys.
F441.2.	Tree-spirit.
G303.15.4.	Devils haunt tree.
G637.	Ogres live in trees.
G312.4.	Man-eating ogre fries his victims in kettle of oil. India: Thomp- son-Balys.
G312.5.	Bhrat, fierce flesh-eating creatures made by Creator in fit of anger. India: Thompson-Balys. A 1210. Creation of man by creator.
G312.6.	Ogre eats only men's hearts. India: Thompson-Balys.
G312.7.	Ogress devours horses. India: Thompson-Balys.
G313.	Procrustes. Monster makes men fit his bed. Tall men sawed off, short men stretched. Greek: Frazer Apollodorus II 131 n. 2, Fox 99; Jewish: Neuman.
K800.	Fatal deception.
K1783.	Shoemaker offers to trim princess's feet to fit the shoes. $160. Mutilations.
G314.	Pine bender. Kills victims by springing tree. Greek: Frazer Apollo- dorus II 124 n. 1, Fox 98.
H1522.1.	Bent tree test. Bent tree is released so as to tear hero to pieces.
K1112.	Bending the tree. Hero bends e over but when he catches breath the tree shoots him to the sky.
G315.	Cycnus. Cuts off heads of strangers in order to build temple of heads. Greek: Frazer Apollodorus I 264 n. 1.
G316.	Giant robber with club. Icelandic: *Boberg; Greek: Fox 98 (labors of Theseus).
F531.4.4.	Giant with club as large as wheelshaft of mill.
G317.	Wrestling ogre. Greek: Fox 87, 99.
G321.	Cliff-ogre. Kicks victims over cliff. Greek: Fox 99, Frazer Apollo- dorus II 129 n. 1; N. A. Indian: *Thompson Tales 322 n. 163.
G122.	Giant's hair grows into rock. He is thus kept from falling from cliff.
K800.	Fatal deception.
S110.	Murders.
G321.1.	Pusher-into-hole. Africa: Werner African 214, (Hottentot): Bleek 78. H 1535.1. Pit test. Hero thrown into pit.
K735.1.	Mats over holes as pitfall.
K1601.	Deceiver falls into his own trap (literally). 1
G321.2.	Ogress at a spot along the road takes toll of lives. India: Thomp- son-Balys.
G322.	Piercer-of-souls: fishes men. Jamaica: *Beckwith MAFLS XVII. 250.
K800.	Fatal deception.
G322.1.	Giant fisherman. Draws in ships with his line. Scotch: Camp- bell-McKay No. 17.
G323.	Brother-Dead. Trapper of game; silent; pursues trickster. Jamaica: Beckwith MAFLS XVII 249 No. 27.   ## p. 349 (#367) ############################################  G. Ogres 349
G327.	Swinging ogre. Girls who swing their lovers over pit, cut rope, and later devour them. Montaignais: Speck JAFL XXXVIII 15.
G262.0.1.1.	Lamia devours her lover.
K855.	Fatal swinging game.
K1618.	Deceiver in swinging contest killed.
G328.	Rectum snakes. Snakes which creep into living man and devour him. *Fb “snog” III 436b; N. A. Indian: *Thompson Tales 322 n. 161.
G328.1.	Serpent inside man's body eats all his food. India: *Thompson- Balys.
G331.	Pot-tilter. Ogre who tilts a pot so that victims are drawn into it. N. A. Indian: *Thompson Tales 321 n. 157.
D1412.2.	Magic pot draws person into it.
G332.	Sucking monster. Giant (sometimes a giant hall or cave) sucks in victims. Irish myth: *Cross; Siberia: Holmberg Siberian 387; India: Thompson-Balys; N. A. Indian: *Thompson Tales 321 n. 158, (Cali- fornia): Gayton and Newman 72, cf. 95.
F910.	Extraordinary swallowings.
G332.1.	Ogre sucks victim's finger and drinks all his blood. Cosquin Contes indiens 369 n. 1; Spanish: Espinosa Jr. No. 80.
T611.1.	Child nourished by sucking its own fingers.
G333.	Path between monsters. Scylla and Charybdis. Greek: Fox 137, 264; N. A. Indian: *Thompson Tales 307 n. 113b.
G334.	Ogre keeps human prisoners.
G440.	Ogre abducts person, R11, Abduction by monster (ogre).
G334.1.	Ogress has twenty captive princesses in cave. India: Thompson- Balys.
G335.	Ogre decapitates captive princess before he leaves palace; resusci- tates her on return. India: *Thompson-Balys.
E151.	Repeated resuscitation. A person dies and is resuscitated re- peatedly.
G336.	Ogre draws victims under water.
G336.1.	Demon drags beneath the water any person whose shadow falls on surface of water. India: Thompson-Balys.
G341.	Sharp-elbowed women. Kill with their elbows. N. A. Indian: *Thompson Tales 327 n. 181.
K800.	Fatal deception.
K1082.	Ogres (large animals, sharp-elbowed women) duped into fighting each other. Trickster strikes one so that he thinks the other has done it.
G341.1.	Ogre with sharpened leg. S. A. Indian (Toba, Mataco, Shipaya, Warrau, Apinarje, Canella, Tukuna): Métraux MAFLS XL 74ff.
J2424.	The sharpened leg.
G342.	Demon with pointed head, red hair, and black face. India: Thomp- son-Balys; Chinese: Graham.
G345.	Man with fire moccasins. They set fire to surroundings. N. A. In- dian: *Thompson Tales 322 n. 164.
D1566.1.2.	Magic fire-moccasins.
G345.1.	Ogress can make cold oven blaze by putting foot into it. India: Thompson-Balys.
G346.	Devastating monster. Lays waste to the land. *Types 301, 550;   ## p. 350 (#368) ############################################  350 Motif-Index of Folk-Literature Irish: *Cross, MacCulloch Celtic 126, 148f.; Welsh: MacCulloch Celtic 102; Finnish: Kalevala rune 46; French Canadian: Barbeau JAFL XXIX 12; Greek: Fox 56; India: *Thompson-Balys.
B16.	Devastating animals.
D1563.2.2.	Monster's blood makes tree and surroundings poisonous.
E263.	Adulteress returns from dead as deva. stating dragon,
G350.	Animal res.
H1362.	Quest for devastating ani- mals.
H1471.	Watch for devastating monster.
S262.	Periodic sacrifices monster. to a
G346.0.1.	Devastating monster which comes out of a hole in evening. India: Thompson-Balys.
G346.1.	Devastating monster mews like cat. Africa (Hausa): Mischlich 164ff No. 22, Frobenius Atlantis IX 277ff., 287ff. Nos. 74, 75.
G346.2.	Devastating demon. Kills and eats people. India: *Thompson- Balys.
G10.	Cannibalism.
G312.	Cannibal ogre.
G346.3.	Amphibious monster. Irish myth: Cross.
G346.3.1.	Amphibious tree-destroying monsters. Irish myth: Cross.
G346.4.	Evil spirit drinks water supply dry. India: Thompson-Balys.
A1111.	Impounded water.
G347.	Ogre: karumba kills hero by medicines. India: Thompson-Balys.
G350.	Animal ogres.
B15.7.	2, Monster three-legged ass.
B16.	Devastating animals,
G351.	Domestic beast as ogre.
G351.1.	Dog as ogre. Irish myth: Cross; Tonga: Gifford 121, Beckwith Myth 342, 348.
G351.2.	Cat as ogre. Sucks blood. Kittredge Arthur and Garlagon 259 n. 2; Japanese: Mitford 245ff.
F471.2.	Incubus.
G351.3.	Ferocious sow. Greek: Fox 98.
G351.4.	Ogress in goat-form. India: Thompson-Balys.
G351.5.	Ogress in form of donkey. India: Thompson-Balys.
G352.	Wild beast as ogre.
B16.2.2.	Devastating tiger.
G352.1.	Wolf as ogre. Icelandic: MacCulloch Eddic 279, Snorra Edda Gylf. XII.
G352.2.	Wild boar as ogre. Cook Islands: Beckwith Myth 471.
G353.	Bird as ogre. Tuamotu: Beckwith Myth 261, Stimson MS (2-G. 3/1229); Hawaii: Beckwith Myth 493.
G353.1.	Cannibal bird as ogre. N. A. Indian (California): Gayton and Newman 78.
G353.2.	Eagle as ogre. Fb "ørn” III 1183b; Icelandic: *Boberg.
B31.1.	Roc.
B31.2.	The Bird Gam.
G353.3.	Duck as ogre. Tonga: Gifford 104.
G354.	Reptile as ogre.   ## p. 351 (#369) ############################################  G. Ogres 351
G354.1.	Snake as ogre. Cheremis: Sebeok-Nyerges; India: *Thompson- Balys.
G354.1.1.	Demon in the shape of serpent guards forest where treasure tree grows. India: Thompson-Balys.
F811.1.1.	Golden tree.
G354.2.	Crocodile as ogre. Africa (Fang): Trilles 158.
G354.3.	Lizard as ogre. Samoa: Beckwith Myth 128.
G360.	Ogres with monstrous features.! Irish myth: *Cross.
F531.2.11.	Demon looks like a mountain.
F1041.8.3.	Madness from seeing ugly ogre.
G100.	Giant ogre. G476, Ugly ogre terrifies women who flee and are drowned.
G361.	Ogre monstrous as to head. (Cf.
G369.4.	) Irish myth: Cross.
F511.	Person unusual as to his head.
G361.1.	Many-headed ogre. India: Thompson-Balys.
B11.2.3.	Many-headed dragon.
B15.1.2.	Many-headed animal.
G215.1.	Seven-headed witch.
G361.1.1.	Two-headed ogre. Irish myth: Cross; Jewish: Neuman; Africa (Fang): Einstein 149.
G361.1.1.1.	Monster with two horns, each having human head on it. Africa (Shangani): Bourhill and Drake 43ff. No. 5.
B15.3.	Animal unusual as to his horns.
G361.1.2.	Three-headed ogre. Hindu: Keith 88; Africa (Fang): Einstein 149.
G361.1.3.	Six-headed ogre. Luzon (Tinguian): Cole 104.
G361.1.4.	Seven-headed ogre. Jewish: Neuman
G361.1.5.	Ten-headed ogre. Philippine (Tinguian): Cole 75.
G361.2.	Great head as ogre. Head detached from body pursues or flies about doing damage. N. A. Indian (Seneca): Curtin-Hewitt RBAE XXXII 262, 291; S. A. Indian (Caviña, Tumupasa): Métraux BBAE CXLIII (3) 448, (Araucanian): Alexander Lat. Am. 329.
E261.1.	Wandering skull pursues man.
R261.1.	Pursuit by rolling head.
G361.3.	Headless ogre. Penzer IX 88 n.
F511.0.1.	Headless person.
G362.	Ogre monstrous as to nose.
F514.	Person unusual as to his nose.
G362.1.	Noseless ogre. Eskimo: Alexander N. Am. 7.
G362.2.	Pug-nosed ogre. Eskimo: Alexander N. Am. 7.
G363.	Ogre monstrous as to mouth. Irish myth: Cross.
F531.1.4.1.	Giant with upper lip reaching heaven, lower, earth,
G363.1.	Ogre with flaming mouth. Irish myth: Cross.
G125.	Fire-spewing giantess.
H41.4.	Flame issuing from mouth as sign of royalty.
G363.2.	Large tusks grown from ogre's mouth. Chinese: Graham.
G363.3.	Diamond-toothed ogre. India: Thompson-Balys.
F544.3.	Remarkable teeth.   ## p. 352 (#370) ############################################  352 Motif-Index of Folk-Literature
G365.	Ogre monstrous as to feet.
B15.6.3.3.	Seven-legged beast.
F517.1.	Person unusual as to his feet.
G365.1.	Ogre with feet reversed. Penzer IX 160; S. A. Indian (Arau- canian): Alexander Lat. Am. 327.
G303.4.5.6.	Devil's knees are backward.
G365.2.	Ogress can extend leg or arm any distance. India: Thompson- Balys.
G369.1.1.	Rakshasas have power of extending bodies eighty miles.
G366.	Ogre monstrous as to trunk.
G366.1.	Ogres who have no belly. S. A. Indian (Fuegian): Alexander Lat. Am. 340.
G367.	Ogre monstrous as to blood.
G367.1.	Blood of five ogres colored yellow, red, white, green, black. India: Thompson-Balys.
G369.	Monstrous Ogres-miscellaneous.
F526.3.	Gorgon.
G369.1.	Rakshasa. Dog or ape-shaped; red hair and eyes; mouth reaching from ear to ear; ears pointed like spears; shape-changers; cannibals; three heads, five feet, four eyes, no fingers, bear-neck, horns. Attack women. Hindu: Keith 98, Penzer X 277 s.v. “Rak- shasas"; India: *Thompson-Balys.
D838.2.	Magic object taken from ogre's house.
F913.	Victims rescued from swallower's belly.
G262.3.	Witch (rakshasa) devours everyone around her.
G610.3.	Stealing from ogre as task.
G369.1.1.	Rakshasas have power of extending bodies eighty miles. India: Thompson-Balys.
D1836.	Magic waxing and waning of strength.
F531.6.5.2.	Giants large or small at will.
F531.6.17.2.	Giant inflates self and floats through air.
G303.3.5.	Devil becomes larger and larger.
G365.2.	Ogress can extend leg or arm any distance.
G369.1.2.	Rakshasa can be defeated by hero who has rakshasi blood in his veins. India: Thompson-Balys.
G369.1.3.	Rakshasa eats many of the domestic animals each night. India: Thompson-Balys.
G369.1.4.	Rakshasa eats horse, dog, and child. Suspected Ranis ordered for execution. India: Thompson-Balys.
G369.1.5.	Man persecuted by a rakshasa in form of beautiful wench. India: Thompson-Balys. G 264. La Belle Dame Sans Merci.
G369.1.6.	Rakshasa hidden in deer's head swallows men. India: Thomp- son-Balys.
G369.1.7.	Rakshasa's mistress with her head severed lying in a pool of blood. India: Thompson-Balys.
G369.2.	Genie in form of smoke, taking shape with three wings, one on back. Chauvin V 262 No. 154.
G369.3.	Ogre without a shadow. Cowell Jātaka V 18.
E421.2.	Ghosts cast no shadow.
G369.4.	Ogre has head and tail of a cat. (Cf.
G361.	) Irish myth: Cross.   ## p. 353 (#371) ############################################  G. Ogres 353
G369.5.	Ogre (demon) with long arm (demon hand) which is thrust down chimney (through door, etc.) Irish myth: *Cross.
G261.1.	Witch steals child with hand through chimney.
G369.6.	One-breasted ogress. India: Thompson-Balys.
F531.1.5.	Breasts of giantess.
G369.7.	One-eyed demon. India: Thompson-Balys.
F531.1.1.1.	Giant with one eye in middle of forehead.
G370.	Ogres-miscellaneous.
K1911.1.7.	Ghost-ogress pushes bride into hole in tree and takes her place.
G371.	Stone giants. (Stone coats.) N. A. Indian (Seneca): Curtin-Hewitt RBAE XXXII 178, 330, 344, 438, 682.
G371.1.	Ogre clothed in rock. N. A. Indian (California): Gayton and Newman 79.
G372.	"Rain" as ogre in bull form. Gaster Oldest Stories 47; Africa |(Bushman): Bleek and Lloyd 193.
G375.	Wonderful birds guarded by monster. India: Thompson-Balys.
B100.	Treasure animals.
G376.	Ogre in shape of small boy. India: Thompson-Balys.
G377.	Tupilac. Monster made of parts of corpses of animals and vivified. Eskimo (Greenland): Rink 151f., 201, 461, Holm 59, 69, Rasmussen III 290f., 295. G400—
G499.	Falling into ogre's power.
G400.	Person falls into ogre's power. *Types 311, 312.
F420.1.4.9.	Water-giants.
F531.	Giant.
G100.	Giant ogre.
G200.	Witch.
G304.	Troll as ogre.
M211.	Man sells soul to the devil.
S211.	Child sold to devil (ogre).
G401.	Children wander into ogre's house. *Types 327, 327**; Swiss: Jegerlehner Oberwallis 326 No. 1; Spanish: Boggs FFC XC 48 No. 327E*, Espinosa Jr. No. 81; West Indies: Flowers 453.
G401.1.	Mistake of elder leads two brothers to the home of ogre. Alu: diWheeler 50.
G402.	Pursuit of animal leads to ogre's house. India: *Thompson-Balys.
G402.1.	Pursuit of bird leads to ogre's house. Type 313; Africa (Kaffir): Theal 108.
N774.	Adventures from pursuing enchanted animal.
G402.2.	Pursuit of mongoose leads to witch's house. India: Thompson- Balys.
G403.	Ogre in animal form lures victim into captivity. Hdwb. d. Märchens I 542b nn. 23—27; India: Thompson-Balys.
G405.	Man on hunt falls into ogre's (witch's) power. Type 303; Irish myth: Cross; Icelandic: *Boberg; Spanish Exempla: Keller; India: Thompson-Balys.
N771.	King (prince) lost on hunt has adventures,
G406.	Lost (marooned) person falls into ogre's power. Irish myth: *Cross. 23   ## p. 354 (#372) ############################################  354 Motif-Index of Folk-Literature Gp10. Person betrayed into ogre's power. India: Thompson-Balys; N. A. Indian (Seneca): Curtin-Hewitt RBAE XXXII 76 No. 1.
K700.	Capture by deception.
K1918.	Monster disguises and wins girl.
G411.	Person aids ogre and is captured. Africa (Zulu): Callaway 75, (Basuto): Jacottet 236 No. 34.
C745.1.	Tabu: heeding pleas of old woman for food and warmth. (Old woman is transformed demon.)
G269.1.	Witch begs man to scratch her back: kills him.
G269.2.	Witch asks for snuff so that she may seize man. He offers it to her on point of spear and escapes.
G302.1.	Demon in form of old woman.
G412.	Children lured into ogre's house. Mono-Alu-Fauru: Wheeler 441.; Eskimo (West Hudson Bay): Boas BAM XV 189, 311.
G412.1.	Ogre's gingerbread house lures child. *Type 327.
F771.1.10.	Gingerbread house.
G413.	Ogre disguises voice to lure victim. Africa (Basuto): Jacottet 64 No. 10; West Indies: Flowers 453.
K1832.	Disguise by changing voice.
G414.	Ogress invites boys to live in her house. India: Thompson-Balys.
G420.	Capture by ogre.
K700.	Capture by deception.
G421.	Ogre traps victim. Africa (Zulu): Callaway 6, (Basuto): Jacottet 258 No. 38.
G422.	Ogre imprisons victim. *Type 327; Oceanic (New Zealand, Man- gaia, Rotuma): Dixon 62.
G422.1.	Ogre imprisons victim in drum. Africa (Basuto): Jacottet 62 No. 10, (Kaffir): Kidd 233 No. 4, (Yoruba): Ellis 261 No. 1.
G423.	Ball falling into water puts person into ogre's (witch's, water spirit's) power. *Type 440; BP I 226.
C41.2.	Tabu: letting ball fall into water.
G424.	Bridal party will not pass over bridge for fear of water-demon. Fb "bro" IV 62a.
C41.	Tabu: offending water-spirit.
F420.	Water-spirits.
G426.	Ogre draws girl over waterfall. Eskimo (Kodiak): Golder JAFL XVI 26.
G440.	Ogre abducts person.
F531.5.7.1.2.	Giantess daughter of giant and abducted maiden (there- fore helps hero). G 261. Witch steals children.
G334.	Ogre keeps human prisoners.
K700.	Capture by deception.
R10.	Abduction. Rii. Abduction by monster (ogre).
G441.	Ogre carries victim in bag (basket). *Type 327; Norwegian: Chris- tiansen 43f. No. 327**; India: Thompson-Balys; Eskimo (Greenland): Rasmussen II 85; N. A. Indian: *Thompson Tales 351 n. 268a, (Cali- fornia): Gayton and Newman 96; Africa (Basuto): Jacottet 66 No. 10, (Kaffir): Theal 120, 134, (Zulu): Callaway 75.
K526.	Captor's bag filled with animals or objects while captives escape.
K1942.	Impostors tricked into carrying hero in box. Woman makes them think they will have her as reward.
G442.	Child-stealing demon. Irish myth: Cross.
G442.1.	Ogre abducts new-born babe, keeping it captive for seven years. Irish myth: Cross.   ## p. 355 (#373) ############################################  G. Ogres 355
G442.2.	Child watched throughout night as protection against child- stealing demon. Irish myth: Cross.
G450.	Falling into ogre's power-miscellaneous. 2211. Dreadnaughts seeks dangers they have been warned against.
G451.	Following witch's fire into her power. *Type 303.
K1886.1.1.	Following luminous tree in the desert.
G452.	Youth takes service with ogre. Scottish: Campbell-McKay No. 25.
G455.	Falling into ogre's power through fascination with his daughter. (Cf.
G530.2.	) Tuamotu: Stimson MS (z-G. 13/152).
G461.	Youth promised to ogre visits ogre's home. *Types 313, 314, 313***; Missouri French: Carrière; India: *Thompson-Balys.
S211.	Child sold (promised) to devil (ogre).
G461.1.	Boy in ogre's house sees many human heads placed in rows: heads smile and weep. India: Thompson-Balys.
E783.	Vital head. Retains life after being cut off.
G462.	Person as servant in ogre's house. Types 314, 428; India: *Thomp- son-Balys.
G204.	Girl in service of witch.
G462.1.	Hero as giant's (ogre's) goatherd. Icelandic: *Boberg.
G463.	Ogre guesses correctly and gets princess. Italian: Basile Pentame- rone I No. 5.
H511.	Princess offered to correct guesser.
G464.	Ogre tyrannizes over fairyland. Irish myth: *Cross.
F210.	Fairyland.
G465.	Ogre sets impossible tasks. *Type 313; Chinese: Graham; Africa (Benga): Nassau 215 No. 33.
H920.	Assigners of tasks.
G466.	Lousing as task set by ogre. *Type 480, Roberts 167f.; Greek: Frazer Pausanias V 269f.; Africa: Werner African 205.
D583.	Transformation by lousing.
D1962.2.	Magic sleep by lousing.
G253.	Witch's horns discovered by lousing her.
K611.1.	Escape by pretended lousing.
K874.	Deception by pretended lousing.
G475.	Ogre attacks intruders.
G475.1.	Ogre attacks intruders in house in woods. *Type 301; India: *Thompson-Balys; Chinese: Graham; Japanese: Ikeda; Philippine: Fansler MAFLS XII 34, 433; Borneo: *Dixon 188 n. 6.
G475.2.	Ogre attacks intruders on bridge. *Type 301.
G476.	Ugly ogre terrifies women who flee and are drowned. Irish myth: *Cross.
G360.	Ogres with monstrous features.
G477.	Ogre kills men and rapes women. Icelandic: *Boberg; India: Thompson-Balys.
G478.	Ogre kills noisy children. Eskimo (Greenland): Rink 47; Koryak: Jochelson JE VI 191. 23*   ## p. 356 (#374) ############################################  356 Motif-Index of Folk-Literature G500—
G599.	Ogre defeated. or
G500.	Ogre defeated. Icelandic: *Boberg; Jewish: *Neuman; India: *Thompson-Balys; Chinese: Graham; Eskimo (Mackenzie Area): Jen- ness 86; N. A. Indian (Zuñi): Benedict 341.
C821.	Tabu: finding age of monster.
D1385.8.	Saint's bachall keeps off monsters.
F531.6.12.	Disappearance or death of giants.
G83.	Cannibal sharpens knife to kill captive.
G270.	Witch overcome escaped.
G303.16.	How the devil's power may be escaped or avoided.
K678.	Cut- ting rope to kill ogre who is climbing the rope to reach his victim.
K711.3.	Ogre frightened into rolling self in mat: burned.
K952.2.	Man transforms self to gadfly to enter giant's stomach and kill him. Ru1.1.1. Rescue of princess from ogre.
G501.	Stupid ogre. *Types 311, 312, 327, 328, 330, 1000—1199; **Wünsche Teufel; Gaster Thespis 328; **Hackman Die Polyphemsage; Icelandic: MacCulloch Eddic 277, Boberg; Breton: Sébillot Incidents s.v. "diable"; Italian: Basile Pentamerone II No. 3; India: *Thompson- Balys, Penzer III 33 N. 3, 34 n.; Chinese: Werner 211; Filipino: Fansler MAFLS XII 51, 376; German New Guinea: Dixon 133ff.; N. A. Indian: Thompson Tales 351f. nn. 268, 268a, 270a, 270b, 271, 271b, (Kaska): Teit JAFL XXX 445, (California): Gayton and Newman 69. For incidents connected with the stupid ogre see G500-G599, besides the many cases of deception scattered throughout chapter K.
F531.1.1.3.	Blind giant.
G82.1.1.	Captive sticks out bone instead of finger when cannibal tries to test his fatness.
G121.	Blind giant ogre
G303.	The devil.
G511.	Ogre blinded.
G612.	The one eye of the three giants stolen.
J2131.4.1.	Looking through the gun barrel.
J2171.1.2.	The ogre tars the hero's boat, thinking to injure him.
J2300.	Gullible fools.
K11.6.	Race won by deception: rabbit as "little son” substitutes. K 12.2. Wrestling match won by deception: bear as “grandfather"
K15.1.	Climbing match won by deception: squirrel as “child”.
K31.1.	Contest: shooting an unheard-of bird.
K41.	Plowing contest.
K42.2.	Mowing contest won by trickery.
K47.1.	Sewing contest won by deception.
