A1541.	Origin of religious feasts.
M301.10.	Angels as prophets.
N536.	Treasure pointed out by angels.
N814.1.	Man carried through air by angel.
Q45.1.	Angels entertained unawares.
Q553.2.	Punishment: angel ceases to appear to self-righteous hermit.
Q559.1.	Devils instead of angels visit woman who has forgotten God in her prosperity.
V230.1.	Man beholds angels. Irish myth: *Cross.
V230.2.	Angels powerfuld. Irish myth: Cross.
V230.3.	Angel and mortal struggle. Spanish Exempla: Keller.
V231.	Appearance of angel. Spanish Exempla: Keller; Icelandic: Bo- berg; Jewish: *Neuman.
V231.1.	Angel in bird shape. *Fb "fugl" I 380b; Irish myth: *Cross.
V231.2.	Shooting star as angel. BP III 234.
V231.3.	Angel with four wings. Irish myth: Cross.
V231.4.	Angel is form of cleric. Irish myth: Cross.
V231.5.	Angel appears to woman to warn her not to force girl into marriage. Spanish Exempla: Keller.
V231.6.	Angel in the form of an old man. Cheremis: Sebeok-Nyerges.   ## p. 461 (#465) ############################################  V. Religion 461
V232.	Angel as helper. Spanish: Keller, Espinosa Jr. No. 188; Jewish: *Neuman.
D812.10.	Magic object received from angel.
D1725.	Magic power obtained from angels.
D1810.5.	Magic knowledge from angel.
D2161.5.5.	Cure by angel.
D2162.3.	Locality sanctified against pestilence by angel as result of prayer and fasting.
F403.2.2.2.	Angels as familiar spirits.
H1573.0.1.	Angel helpers in religious test.
N211.3.	Angel helps to find lost pin.
N536.	Treasure pointed out by angels.
N814.	Helpful angel.
V232.1.	Angel as helper in battle. English: Wells 76 (Joseph of Ara- mathie); Italian Novella: Rotunda.
V232.1.1.	Angels appear and help boy prince slay treacherous uncle. Spanish Exempla: Keller.
V232.2.	Angel carries mortal. Irish myth: *Cross.
V232.2.0.1.	Angel carries boat to water. Irish myth: Cross.
V232.2.0.2.	Angel transports saint's staff. Irish myth: Cross.
V232.3.	Angels supply food to mortal. Irish myth: *Cross; Jewish: Neu- man.
V232.3.1.	Angel shows saint where to dig for water. Irish myth: *Cross.
V232.4.	Angel looses man's fetters. (Cf.
R121.	) Irish myth: Cross.
V232.5.	Angel as guide. Irish myth: *Cross; Jewish: *Neuman.
V232.5.1.	Angel guides chariot. Irish myth: *Cross.
V232.6.	Angel reveals location of lost (buried) object. Irish myth: *Cross.
V232.7.	Gifts from angels. Irish myth: *Cross; Jewish: *Neuman.
V232.7.1.	Angel brings cross as gift to saint. Irish myth: Cross.
V232.8.	Angel helps Peter to escape from prison. Spanish Exempla: Keller.
V232.9.	Angel cleans hearth. Irish myth: Cross.
V232.10.	Angels build church. Irish myth: *Cross.
V233.	Angel of death. *Chauvin VI 184 No. 349; *Fb "engel" I 250; Jew- ish: *Neuman, bin Gorion Born Judas I 313f., 149f., 371ff., 380.
V233.1.	Angel of death spares mother who is suckling children. As punishment angel must serve as sexton. Type 795*; Lithuanian: Balys Index No. 795*; Russian: Andrejev No. 795A*; Estonian: Aarne FFC XXV No. 795*.
V234.	Songs of the angels. *Chauvin VI 106 No. 270; *Loomis White Magic 53; Irish myth: *Cross.
V234.1.	Angels sing in honor of saint. Irish myth: *Cross.
V234.1.1.	Angels sing to welcome saint. Irish myth: Cross.
V234.1.2.	Angels sing over saint's body. Irish myth: *Cross.
V234.1.3.	Angel choir responds when saint receives orders. Irish myth: *Cross.
V234.2.	Angels sing on night of Christ's Nativity. Irish myth: *Cross.   ## p. 462 (#466) ############################################  462 Motif-Index of Folk-Literature
V235.	Mortal visited by angel. Irish: Plummer clxxxii, *Cross; Icelandic: *Boberg; Swiss: Jegerlehner Oberwallis 301 No. 16; Spanish: Keller, Espinosa Jr. No. 186; Jewish: *Neuman.
A182.3.	God (angel) speaks to mortal.
J225.0.1.	Angel and hermit.
K1811.	Gods (saints) in disguise visit mortals.
Q45.1.	Angels entertained unawares.
U119.3.	Angel holds nose when handsome sinner passes.
V227.	Saints have divine visitors.
V235.0.1.	Mortals visited by angel in vision. (Cf.
V510.	) Irish myth: *Cross.
V235.0.2.	Angel invoked by fasting. Irish myth: *Cross.
V235.1.	Angel announces birth of Christ to shepherds. Irish myth: Cross.
V235.2.	Angel comforts repentant sinner. Irish myth: Cross.
V235.3.	Angel bars abbot from his cell because abbot has cast out a sinning monk. Spanish Exempla: Keller.
V236.	Fallen angels. Jewish: Neuman.
V236.1.	Fallen angels become fairies (dwarfs, trolls). *Fb “engel" I 250; Irish: O'Suilleabhain 59, 61, Beal XXI 323f.
A106.2.	Revolt of Evil Angels against God.
V237.	Angel bars the way to Baalam's ass. Numbers 22: 27; Italian Novella: Rotunda.
V238.	Guardian angel. (Cf.
F403.2.2.	2, V232, 246.) Irish myth: *Cross; Jewish: Neuman.
V238.1.	Angels hover over mortal (saint). Irish myth: *Cross.
V238.2.	Angels melt snow around saintly babe. Irish myth: Cross.
V238.3.	Service of angels marks saint's destination. Irish myth: Cross.
V238.4.	Air above grave of converted druid full of angels. Irish myth: *Cross.
V241.	Angels honor mortal. (Cf.
V234.1.	) Irish myth: *Cross; Jewish: *Neuman.
V241.1.	Angels attend saint's funeral. Irish myth: Cross.
V241.1.1.	Angel directs saint's burial. Irish myth: *Cross.
V241.2.	Angels hold service over (saint's) tomb. (Cf.
V242.	) Irish myth: *Cross.
V241.2.1.	Angels shed light upon saint's tomb. Irish myth: Cross.
V241.3.	Angels run races before saint. Irish myth: Cross.
V241.4.	Angel baptizes saint. Irish myth: Cross.
V241.4.1.	Angel names child. Irish myth: *Cross.
V241.5.	Angels set heavenly veil upon head of pious woman. Irish myth: Cross.
V242.	Holy place (object) glorified by angel's presence. (Cf.
V421.2.	)
V242.1.	Train of angels rises from graveyard. Irish myth: Cross.   ## p. 463 (#467) ############################################  V. Religion 463
V242.2.	Angel abides in church. Irish myth: Cross.
V242.2.1.	Angels attend church service. Irish myth: *Cross.
V242.3.	Angel passes daily over blessed stone. Irish myth: Cross.
V243.	Angel answers mortal's prayer. Irish myth: *Cross; Jewish: Neu- man.
V243.1.	Angels appear above grave of fallen girl through virtue of prayers said by her lover (young monk). Irish myth: Cross.
V244.	Angel beseeches at unholy grave of redeemed sinner until body is moved to sanctified ground. Irish myth. Cross.
V245.	Angel punishes mortal. Irish myth: Cross; Jewish: *Neuman.
V245.1.	Angel scourges mortal for disobedience to God. (Cf. Q220, Q325,
Q458.	) Irish myth: Cross.
V246.	Angel counsels mortal. (Cf. V232,
V238.	) Irish myth: *Cross; Jewish: *Neuman.
V246.0.1.	Angel leaves letter (book) with instructions for saint. Irish myth: *Cross.
V246.0.2.	Angel dictates (gives) book. Irish myth: *Cross.
V246.1.	Angel tells saint where to build his church. Irish myth: *Cross.
V111.	Churches.
V246.2.	Angel as saint's teacher. Irish myth: *Cross.
V246.3.	Angel informs saint of coming of guests. Irish myth: Cross.
D1812.0.2.	Saints have foreknowledge of coming of guests.
V247.	Daily life of angels. Jewish: *Neuman.
V248.	Angels and God. Jewish: *Neuman.
V249.	Angels-miscellaneous motifs. Irish myth: Cross.
V249.1.	Angel makes proclamation. Irish myth: Cross.
V249.2.	Language of angels.
V249.2.1.	Hebrew the language of the angels. Irish myth: Cross.
V250.	The Virgin Mary. **Crane Liber de Miraculis; *DeVooys Middel- nederlandse Legenden en Exempelen 57; Genthe Die Jungfrau Maria: ihre Evangelien und ihre Wunder (Halle, 1852); *Encyc. Rel. Ethics Index 366c. Irish: *Cross, O'Suilleabhain 59, 78, Beal XXI 307, 314, 323, 327; Spanish: Keller, Espinosa Jr. Nos. 202-04. For refe- rences in addition to those given below, see volume VI s.v. “Virgin Mary".
A1355.2.	Origin of menstruation: Virgin Mary's garment.
A2231.5.	Spider vies with Virgin Mary in spinning.
A2615.1.	Mary hides in ground nail to be used for cross: origin of thistles.
B131.6.	Bird betrays hiding place of Virgin.
D1331.2.3.	Virgin Mary's shift as banner causes blindness to oppos- ing army.
D1610.21.1.	Image of Virgin speaks.
D1620.1.4.	Statue of Virgin sews for suppliant.
D1622.2.	Image of Virgin bows to indicate favor.
D1623.1.	Image of Virgin veils and unveils itself.
D1639.2.	Image of Virgin saves painter.
D1648.1.2.1.	Tree bows to help Virgin Mary in childbirth.
D2151.1.2.1.	Tide held back by Virgin Mary.
D2161.5.2.	Cure by Virgin Mary.
D2163.3.	Virgin Mary intercepts an arrow in battle.
G303.9.4.8.	Devil tempts youth to deny Virgin.
G303.16.1.	By help of Virgin devil may be escaped.
G303.16.2.2.	Person saved from devil by prayer to Virgin.
K1841.	The Virgin Mary substitutes for a mortal.
K1971.3.1.	Maid behind statue of Virgin advises mistress.
M91.	Virgin Mary reverses judgments of church.
Q32.	Reward for offering food to crucifix (Madonna).
Q553.1.	## p. 464 (#468) ############################################  464 Motif-Index of Folk-Literature Virgin Mary withdraws sacrament from scoffer.
Q558.5.	Man in anger throws stone at image of Virgin: is stricken dead.
S251.	Virgin Mary rescues child promised to the devil.
T313.	Ravished girl's virginity res- tored by Virgin Mary.
T321.2.	Girl named Mary has virginity spared by knight who has bought her. The Virgin appears to her.
T376.	Young man betrothed to statue. Man puts marriage ring on finger of statue of Venus (Virgin Mary). She afterwards forbids him the embraces of an earthly bride.
T401.	Virgin Mary as protectress of illicit lovers.
T401.1.	Pregnant abbess secretly delivered of her child by Virgin Mary.
T412.1.	Mother guilty of incest with son forgiven by pope (Virgin Mary).
V250.1.	Irish saint as "Mary of the Gael". Irish myth: *Cross.
V250.2.	Virgin Mary has golden hair. Irish myth: Cross
V251.	Virgin Mary prevents (retards) death so as to save sinner's soul. Permits time for repentance and absolution. (Sometimes resuscita- tion.) Alphabet No. 464; Ward II 606 No. 14, 633 No. 31, 650 No. 1; *Crane Miraculis Nos. 6, 7, 10, 31, 39; Wells 169 (De Miraculo Beate Marie); Scala Celi 123a, 125b Nos. 674, 681. Spanish Exempla: Keller. -
E121.3.	Resuscitation by Virgin Mary.
E754.1.2.	Condemned soul saved by Virgin Mary.
V23.1.	Unshriven man restored to life in order to confess.
V251.1.	Virgin Mary brings man back to life after he has seen hell's torments. Spanish Exempla: Keller.
V252.	Virgin Mary defends innocent accused. Alphabet No. 381; Wessel- ski Mönchslatein 78 No. 68; *Crane Miraculis No. 34; Icelandic: Bo- berg.
V252.1.	Virgin Mary returns borrowed money and reveals cheat. A man borrows money from a Jew with the Virgin as security. Unable to return the money in time, he commits the money to the sea with a prayer to the Virgin. The Jew receives it but claims that the money is not paid. The Virgin reveals the cheat. Ward II 638 No. 10; *Crane Miraculis No. 33; Wells 167 (Vernon Miracles).
V252.2.	Virgin Mary saves criminal from fire at stake. *Ward II 663 No. 12; Spanish Exempla: Keller.
Q414.	Punishment: burning alive.
R175.	Rescue at the stake.
V253.	Faithfulness to Virgin Mary, even if not to Christ, rewarded. Alphabet No. 555; Wesselski Mönchslatein 128 No. 113.
V254.	Efficacy of saying "Aves". Irish: Beal XXI 335, O'Suilleabhain 114, 117.
V254.1.	Saying of “Aves" obliterates sin. *Crane Miraculis No. 12; Ward II 605ff. Nos. 10, 18, 20; Herbert III 26; *Crane Vitry 263 No. 296.
Q171.	Immunity from punishment for sin as reward.
T285.	Mistress has always said her "Aves": Virgin Mary refuses to help wife against her rival. The wife tells this to the mistress, who repents.
V254.1.1.	Virgin Mary supports robber on gallows because he once said "Ave Maria". Spanish Exempla: Keller.
V254.2.	Ship in storm saved because of sailors' "Ave Maria". (Cf.
D2141.1.	) *Crane Miraculis No. 28; Ward II 626 No. 9, 640 Nos. 12, 14, 15, *677 No. 12.
V254.3.	"Ave" on the tongue. Because of faithfulness in saying "Aves" the words are found imprinted on the dead man's tongue. (Cf.
V86.2.	) Ward II 612 No. 29, 677 No. 1, cf. 632 No. 30.
V254.3.1.	Blasphemer paralyzed in all members except tongue which had once said "Ave Maria". Spanish Exempla: Keller.   ## p. 465 (#469) ############################################  V. Religion 465
V254.4.	Devil exorcised by "Ave". Ward II 686 Nos. 74, 75, 77.
V254.5.	Nun forgets to hail Mary and goes into the world to sin. Alpha- bet No. 470.
V254.6.	Joseph and Mary threaten to leave heaven when the man who has always prayed to them is refused admittance. *Type 805*.
V254.7.	Murdered boy still sings "Ave" after his death. (Chaucer's Prioress's Tale.) **Brown PMLA XXI 486ff.; Ward II 656, 697 and passim; Herbert III 528; Wells Catalogue of Romances 166 (Vernon Miracles).
V254.7.1.	Criminal who said "Ave" beheaded. His head calls repeatedly, "Ave Maria". Spanish Exempla: Keller.
V254.8.	Virgin Mary will not let devil (authorities) take robber noble who daily says "Ave". Spanish Exempla: Keller.
V254.9.	Virgin forbids devil to take robber as long as he continues to say two "Aves" daily. Italian Novella: Rotunda.
V255.	Virgin Mary has dissolute monk buried in consecrated ground: his only mass is that of the Virgin. *Crane Miraculis Nos. 3, 9; Ward II 607 No. 15, 660 No. 29; Scala Celi 116a, 116b Nos. 644, 645; Spanish Exempla: Keller.
V255.1.	Devotee of Virgin not buried in consecrated ground has lily issue from mouth so that his grave is made known. Spanish Ex- empla: Keller; Italian Novella: Rotunda.
V255.2.	Virgin gives private mass to devout lady unable to attend. Spanish Exempla: Keller
V256.	Miraculous healing by Virgin Mary. (Cf.
D2161.	) Irish myth: Cross.
V256.1.	Healing spittle of Virgin Mary. (Cf.
D1500.1.7.2.	) Irish myth: Cross.
V256.2.	Miracles of healing performed before image of Virgin Mary. Irish myth: Cross.
V256.3.	Virgin Mary restores severed hand to Saint John Damascene. He had cut it off to repress lust. Spanish Exempla: Keller.
T327.	Mutilation to repel lover.
T333.	Man mutilates self to remove temptation.
V256.4.	Virgin Mary saves life of man who at devil's instigation has castrated himself. She will not, however, restore his severed mem- bers. Spanish Exempla: Keller.
V256.5.	Virgin Mary restores life to drowned man who always had saluted her. Spanish Exempla: Keller.
V261.	Virgin Mary designates favorite for election for office. *Crane Miraculis No. 13; Ward II 608 No. 19.
V261.1.	Virgin restores office to an ignorant man because of his faith. Spanish Exempla: Keller.
V261.2.	Virgin pardons man who repented for cheating in election. Spanish Exempla: Keller.
V262.	Virgin Mary supplies mead for unprepared hostess of the king. Ward II 614 No. 35. 30   ## p. 466 (#470) ############################################  466 Motif-Index of Folk-Literature
V263.	Portrait of the Virgin appears to devotee. *Ward II 611 Nos. 26, 27; *Crane Miraculis Nos. 21, 44.
V264.	Virgin Mary rescues man attacked by the devil. *Crane Miraculis No. 23; Ward II 612 No. 30; Spanish Exempla: Keller; West Indies: Flowers 580.
V264.1.	Virgin Mary brings man a pact he signed with the devil and frees the man from devil's power. Spanish Exempla: Keller.
M211.	Man sells soul to devil.
S251.	Virgin Mary rescues child promised to the devil.
V265.	Virgin miraculously prevents nun (monk) from deserting cloister. Ward II 634 No. 34, 636 Nos. 7, 41, 667 No. 13, 721 No. 17; Spanish Exempla: Keller.
K1841.1.	The nun who saw the world (Sister Beatrice). The Virgin takes the place of the nun in the nunnery while the latter is living a life of shame.
V475.	Renunciation of clerical vows.
V265.1.	Image of Virgin tries in vain to keep nun from leaving convent. Crane Vitry 160 No. 60; Spanish Exempla: Keller.
V266.	Virgin Mary converts a Jew. (Cf.
V330.	) Italian Novella: Rotunda.
V267.	Devotee of Virgin is comforted in the hour of death. Italian No- vella: Rotunda.
V268.	Miracles performed under protection of Virgin Mary. Italian Novella: Rotunda.
V268.1.	Boy under protection of Virgin Mary pulled from well alive af- ter a week. Irish myth: Cross.
V268.2.	Virgin Mary saves devotee from death in waves. Spanish Ex- empla: Keller.
V268.3.	Virgin Mary destroys Moorish army besieging Constantinople. Spanish Exempla: Keller.
V268.4.	Virgin Mary saves devotee's son from shipwreck. Spanish Ex- empla: Keller.
V268.5.	Image of Virgin Mary works miracles. Irish myth: Cross.
V271.	Virgin Mary as foster mother. Type 710; *BP I 13ff.
V275.	Virgin Mary comforts repentant criminals. Ward II 603 No. 6, 606 No. 12, 610 No. 25, 618 No. 39, 648 No. 44; Spanish Exempla: Keller.
V276.	Virgin Mary appears to erring man.
V276.1.	Virgin Mary appears to erring monk and exalts him to prayer. His prayers weave her a garment. Spanish Exempla: Keller.
V276.2.	Virgin Mary appears and pardons monk who has been too overworked to pray to her. Spanish Exempla: Keller.
V276.3.	Virgin Mary aids repentant slayer of priest. Priest is resurrected in order to forgive murderer and then is returned to tomb. Italian Novella: Rotunda.
V277.	Virgin Mary appears to devotee.
V277.1.	Virgin Mary appears to devout nun with infant Jesus. The nun devoutly prayed to see Him. Spanish Exempla: Keller.   ## p. 467 (#471) ############################################  V. Religion 467
V281.	Devotee of Virgin Mary given present by her. Ward II 660 No. 28.
V282.	Stella Maris: Virgin Mary as protectress of sailors. Canney Revue de l'Histoire des Religions CXV (1937) 90ff.; Krappe Review of Reli- gion (1948) 376ff.
V283.	Testament of Virgin Mary. Irish myth: *Cross.
V284.	During a flood the Virgin descends into the streets to save her image from the flood waters. U.S.: Baughman.
V290.	Other sacred persons. Irish myth: Cross.
D2161.5.4.	Cure by Moses.
V291.	Master poets (ollamhs) as sacred persons. Irish myth: *Cross.
V292.	The Apostles of Christ.
V292.1.	Appearance of the Apostles. Irish myth: Cross.
V292.2.	The Twelve Apostles of Ireland. Irish myth: *Cross.
V293.	Lepers as sacred persons. Irish myth: Cross.
V294.	The Pope. Irish myth: Cross. V300-
V399.	Religious beliefs.
V300.	Religious beliefs.
J1262.	Repartee based on doctrinal discussions.
Q225.	Punishment for scoffing at church teachings.
V310.	Particular dogmas.
V311.	Belief in the life to come. *Encyc. Rel. Ethics Index 272b; Irish myth: *Cross.
V311.0.1.	Doctrine of immortality taught by druids. Irish myth: *Cross.
V311.1.	Man converted to belief in future life on deathbed. Feels sure nevertheless that nothing will come of it. Wesselski Bebel I 182 No. 32.
V311.2.	Dying man refuses to believe in life to come. Italian Novella: Rotunda.
V311.3.	Given choice between life and heaven, person chooses latter. Irish myth: *Cross.
V312.	Belief in Immaculate Conception. (Cf.
T510.	) *Encyc. Rel. Ethics Index 272a; Spanish Exempla: Keller.
V312.1.	Proclamation of dogma of Immaculate Conception stops plague. Pauli (ed. Bolte) Nos. 552, 553.
V312.2.	Man miraculously dies for opposing dogma of Immaculate Con- ception. Attempt to disprove the dogma by false miracle. Sham dead man is to rise if the dogma is not true. He is found to be actually dead. Pauli (ed. Bolte) No. 554.
V313.	Last judgment. Jewish: Moreno Esdras, *Neuman.
A1002.	Doomsday.
E750.	Perils of the soul.
V520.	Salvation.
V315.	Belief in the Atonement. *Encyc. Rel. Ethics Index 48c; Jewish: *Neuman. 30*   ## p. 468 (#472) ############################################  468 Motif-Index of Folk-Literature
V315.1.	Power of repentance. Jewish: *Neuman.
V316.	Efficacy of prayer. Jewish: *Neuman.
V316.1.	"He that asks shall receive." Hermit wants to prove truth of these words of the Gospel and asks for the hand of the princess. Performs the difficult task imposed upon him. Lithuanian: Balys Index No. 779*; Russian: Andrejev No. 8411*
V317.	The chosen people. Jewish: *Neuman.
V317.1.	Holy land. Jewish: *Neuman.
V320.	Heretics. *Encyc. Rel. Ethics Index 251b; Irish myth: Cross.
Q552.2.3.2.2.	Earth swallows heretical city.
V351.1.	Wise heretic is van- quished in debate with a Christian.
V321.	Insane man burns heretic in his bed: restored to his senses as reward. Pauli (ed. Bolte) No. 47.
V322.	Heretical baptism. Heathen baptized into devil's possession. Irish myth: *Cross.
V323.	Atheists.
V323.1.	Epicureans regarded as atheists. Jewish: Neuman.
V325.	Baptismal water vanishes before Aryan bishop. Alphabet No. 95.
V326.	Hero renounces heaven because dead companions (heathen) are not there. Irish myth: *Cross.
V327.	Author of book against heretic honored by Virgin Mary and angels. Scala Celi 117b No. 652.
V328.	Man sets fire to his house and perishes in it rather than accept Christianity. Irish myth: *Cross.
V330.	Conversion from one religion to another. *Encyc. Rel. Ethics X 400-403.
M351.	Prophecy that youth shall abandon his religion and become Christian. (Baarlam and Josaphat.) -
V331.	Conversion to Christianity. (Cf.
M177.1.	) Pauli (ed. Bolte) No. 555; Dickson 199 n. 89; Malone PMLA XLIII 413. Irish: *Cross, O'Suilleabhain 65, Beal XXI 325; Icelandic: *Boberg; English: Wells 88 (Roland and Vernagu); Spanish Exempla: Keller; Jewish: *Neu- man; Tahiti: Henry Ancient Tahiti (Honolulu, 1928) 178.
V331.0.1.	Druid converted to Christianity. Irish myth: *Cross.
V331.0.2.	Three (two) Irishmen who believed in Christianity before the coming of St. Patrick. (Cf.
A1546.3.1.	) Irish myth: *Cross.
V331.1.	Conversion to Christianity through miracle. Dickson 193-98 passim; Alphabet No. 558; Icelandic: *Boberg; Irish: *Cross, O'Suillea- bhain 71, 74, Beal XXI 326; English: Wells 91 (Otuel), 119 (Octovian), *Hibbard 45ff.; Italian Novella: *Rotunda.
V331.1.1.	Conversion to Christianity by miracle of seeing blood flow from Jesus' image. Spanish Exempla: Keller.
V331.1.2.	Conversion to Christianity through appearance of the cross and angels. Spanish Exempla: Keller.   ## p. 469 (#473) ############################################  V. Religion 469
V331.1.3.	Conversion to Christianity because the heathen gods prove to be less powerful. *Loomis White Magic 75.
V331.1.4.	Conversion because saint's staff miraculously goes through neophytes' foot. Irish myth: *Cross.
V331.2.	Conversion to Christianity on pain of death. *Dickson 188 n. 64, 224; Icelandic: *Boberg.
V331.3.	Miraculous beautification upon conversion to Christianity. (Cf.
D1860.	) English: Wells 122 (The King of Tars).
V331.4.	Conversion to Christianity through repentance. Italian Novella: Rotunda.
V331.5.	Conversion to Christianity through love. Italian Novella: *Ro- tunda.
V331.6.	Conversion to Christianity out of gratitude. Ruler has captive baptize his sister and then marry her. Grateful for past kindnesses. Italian Novella: Rotunda.
V331.7.	Saladin asks to be made a Christian knight. Italian Novella: Rotunda.
V331.8.	Fairies converted to Christianity. Irish myth: *Cross.
V331.9.	Swans (transformed children) do not suffer in harsh weather after conversion to Christianity. Irish myth: *Cross.
B250.	Religious animals.
D161.1.	Transformation man to swan.
V331.10.	Conversion to Christianity because of admiration for Christian virtue.
V331.10.1.	Conversion to Christianity through show of forgiveness and gentleness. Spanish Exempla: Keller.
V332.	Baptism of heathen. *Thien Motive 40f.; Spanish Exempla: Keller. Conversion to Judaism. Jewish: *Neuman.
V336.	
V340.	Miracle manifested to non-believers. Irish myth: *Cross; Ice- landic: *Boberg; Jewish: Neuman; India: Thompson-Balys.
F964.2.	Fire spares saint's tunic, though wearer is burned.
H1573.3.	Power of Christianity tested.
V353.	Saint's bachall pointed at idol defaces it.
V341.	Pagan sybil draws picture of Madonna and Child in sand. Result of vision. Pauli (ed. Bolte) No. 560.
V342.	Sign of cross intimidates Jews. Type 1709*.
V343.	Jews protesting against marriage of Jewess and Christian are struck dumb. Wesselski Mönchslatein 52 No. 62.
V344.	Temple about to be taken over by pagans saved by appearance of a Sign of the Cross (image of the Virgin). Alphabet No. 708; *Crane Miraculis No. 20.
V345.	Dove flies out of man's mouth. Impious anchorite has agreed to forsake his religion in return for the possession of a maid. When he repents the dove reenters his mouth. Italian Novella: Rotunda; Spanish Exempla: Keller.
E732.1.	Soul in form of dove.
M217.	Devil (Saracen priest) bargains to help man win woman.   ## p. 470 (#474) ############################################  470 Motif-Index of Folk-Literature
V346.	Skeptic kicked by sacrificial animal. India: Thompson-Balys.
V347.	Idols found on their faces after saint's arrival. *Loomis White Magic 89; Irish myth: Cross.
D2176.3.3.1.	Demons in stone images driven out by holy man (saint).
V350.	Conflicts between religions. Irish myth: *Cross; Jewish: *Neuman.
D1402.13.	Druid's spells kill Christian king.
D1719.1.	Contest in magic.
F302.8.	Fairy mistress demands mortal lover deny Christian teachings.
F399.3.	Fairies hate clerics.
F402.1.11.1.	Spirit sent by druids cause death of Christian king.
F460.4.4.4.	Mountain-men make sausage of Christians.
H1573.1.	Belief in Christianity tested.
J1825.	Turkish ambassador mis- understands Christian ceremonies. Makes ridiculous reports to his king.
P426.0.1.	In fear of clerics pagans flee into fairy mounds.
Q222.	Punish- ment for desecration of holy places.
Q227.	Punishment for opposition to holy person.
Q552.3.3.	Drought as punishment for heathen.
V351.	Duel (debate) to prove which religion is better. Dickson 187 nn. 61, 62; English: Wells 88 (Roland and Vernagu), 91 (Otuel); Spanish Exempla: Keller.
H607.1.	Discussion between priest and Jew carried on by symbols.
V351.1.	Wise heretic is vanquished in debate with a Christian. Italian Novella: Rotunda.
V351.1.1.	Brahmin wins a discussion on religion. India: Thompson-Balys.
V351.2.	Unbeliever loses argument with hermit. Italian Novella: Ro- tunda.
V351.3.	Magician overpowered in contest with a saint. *Loomis White Magic 75f.
V351.3.1.	Contest of St. Peter with Simon Magus, a magician. *Loomis White Magic 120.
V351.4.	Prayer-contest to prove which religion is better. Irish myth: *Cross.
V351.5.	Contest of miraculous powers between a Yogi and a Musselman. India: Thompson-Balys.
V352.	Pagan disputant with Christian stricken dumb. English: Wells 76 (Joseph of Aramathie); Spanish Exempla: Keller.
V352.1.	Pagan disputant with Christian bested by the words put in his mouth by God. Spanish Exempla: Keller.
V354.	Life of heroic age preferable to Christian living. Irish myth: *Cross.
V355.	Buddhists become slaves of Taoists because they cannot produce rain. Chinese: Werner 353.
V356.	Christian hero (saint) overthrows heathen idols. *Boje 82; *Toldo V 339; Irish myth: *Cross; Icelandic: *Boberg.
V356.1.	Saint dispels pagan devils from ancient shrines. *Loomis White Magic 115.
V356.2.	Pagan shrines and idols, or magic books destroyed by fire from heaven. *Loomis White Magic 35.
V356.2.1.	Heathen idols sink into earth up to their necks through power of saint. Irish myth: Cross.
V356.3.	Saint's bachall pointed at idol defaces it. (Cf.
V347.	) Irish myth: Cross.   ## p. 471 (#475) ############################################  V. Religion 471
V360.	Christian and Jewish traditions about each other. *DeVooys Middelnederlandse Legenden en Exempelen (Den Haag, 1926) 199ff.
A1681.2.	Why Jews do not eat pork.
D1624.2.	Wounds of crucifix bleed.
J1613.	The rescuers' Sabbath. A Jew, fallen into a pit, refuses to be rescued on Saturday, his Sabbath. The next day he calls for help but the Christians refuse to rescue him on Sunday, their Sabbath.
J2336.	Jewess makes parents believe that she is to give birth to the Messiah. She bears a girl.
J2383.	Pity for the poor Jews. On Good Friday an old woman who has heard the Passion Story exclaims, "How hard it was for the Jews who had to watch all night with Christ."
P715.1.	Jews.
W154.19.	Ungrateful Jew steals horse of Christian who has lent it to him.
X610.	Jokes con- cerning Jews.
V361.	Christian child killed to furnish blood for Jewish rite. (Hugh of Lincoln.) (Cf.
V254.7.	) **V. Manzini La superstizione omicida e i sacrifici umani, con particolare riguardo alle accuse contro gli Ebrei (2d ed., Padua, 1930); **Berger Mélusine VIII 169ff.; *Ward II 656 No. 3; *Brown PMLA XXI 486ff. English: Child III 240ff., IV 497a. —
V362.	Plague from Jews' poisoning wells. German: H. Rauchfuss Alte Geschichte u. neue Sagen aus Thuringen 60.
V363.	Jewish child thrown into oven by father for taking eucharist. Preserved by Virgin Mary. *Ward II 601; Irish myth: Cross (
V35.1.0.	1); Spanish Exempla: Keller.
V363.1.	Jewish child resurrected (saved by power of Virgin Mary) af- ter being burned to ashes for eating consecrated bread in Christian church. Irish myth: *Cross.
V364.	A Christianized Jew becomes a priest. During Mass, he stabs the consecrated host, blood flows (cf. C55,
J1261.	2, V30). He kills the other priest who saw him commit the sacrilege, and before killing, forces him to renounce his faith. A miracle exposes the murderer. Lithuanian: Balys Index No. 3270, Legends Nos. 416ff.
V365.	Jewish traditions concerning non-Jews. Jewish: *Neuman.
V380.	Religious beliefs-miscellaneous.
V381.	Heathen beats his god because of misfortune. (Cf.
V123.	) *Boje 101; Chinese: Eberhard FFC CXX 238 No. 185.
V382.	Doctor ridicules belief in Devil, Heaven, and Hell. Italian Novella: Rotunda.
V383.	Religious fanaticism. Irish myth: Cross.
V383.1.	Prolonged prostration in worship causes death. Irish myth: Cross.
V383.2.	Hindu drinks water by mistake from Mohammedan's vessel: his fortune turns to evil. India: Thompson-Balys.
V385.	
C270.	Tabu: drinking certain things. Romans won't include Jesus in their pantheon because of his poverty which they hate. Spanish Exempla: Keller.
V400.	V400-
