A1313.	Origin of sex-organs.
T541.	1,
T563.2.	) *Fb "blod" IV 47a.
T535.	Conception from fire. (Cf.
F611.1.10.	) Irish myth: Cross.
T535.1.	Conception from heat of fire. *Hartland Primitive Paternity I 98ff.
T536.	Conception from feathers falling on woman. N. A. Indian (Aztec): Alexander Lat. Am. 60.
T537.	Conception from scarification. Pigeons scarify woman on loins. Africa (Zulu): Callaway 55.
T538.	Unusual conception in old age. Loomis White Magic 20; Jewish: Neuman; S. A. Indian (Inca): Rowe BBAE CXLIII (2) 318.
T539.	Miraculous conception-miscellaneous.
T539.1.	Hero enters womb of sleeping woman and is reborn. India: Thompson-Balys; Hindu: Keith 194, 222.
E607.2.	Person transforms self, is swallowed and reborn in new form.
T539.2.	Conception by a cry. Max Müller Sacred Books of the East V 69, 71 (Persian); cf. Carnoy 289.
T539.3.	Conception from intercourse with demon. Irish myth: *Cross; Jewish: *Neuman.
C112.	Tabu: sexual intercourse with unearthly beings.
F301.	Fairy lover.
F471.2.	Incubus (demon lover).
F471.2.0.1.	Demon lover.
T539.4.	Heifers covered by supernatural bull conceive miraculously. Irish myth: Cross.   ## p. 396 (#400) ############################################  396 Motif-Index of Folk-Literature
T539.5.	Magic impregnation from faraway husband. Chinese: Eberhard FFC CXX 102 No. 59.
T540.	Miraculous_birth. *BP I 544; *Hartland Perseus ch. 4, 5, 6, Primitive Paternity passim; *Fb "barn" IV 27a; *Penzer II 136 n. 1; Jewish: *Neuman; India: Thompson-Balys; Chinese: Eberhard FFC CXX 94 No. 53; Indonesia: DeVries's list Nos. 157, 159; N. A. Indian: *Thompson Tales 323 n. 166.
A511.1.	Birth of culture hero.
B630.	Offspring of marriage to animal.
B754.7.	Unusual parturition of animal.
C33.1.	Tabu: mentioning origin of supernatural child.
S313.	Child of supernatural birth exposed.
T578.	Pregnant man.
T540.1.	Supernatural birth of saints. *Toldo I 320 n. 2; Loomis White Magic 20; India: Thompson-Balys; Japanese: Ikeda.
T584.0.3.	Birth of holy person painless.
V220.	Saints.
T541.	Birth from unusual part of person's body. Irish myth: Cross; Japanese: Ikeda.
T541.1.	Birth from blood. Greek: *Frazer Apollodorus I 5 n. 4, Fox 6, 262; Philippine (Tinguian): Cole *15, 63, 71, 124.
T541.1.1.	Birth from blood-clot. Hatt Asiatic Influences 80ff.; Oceanic: *Dixon 109, 251 n. 25; Mono-Alu: Wheeler No. 01; New Hebrides: Codrington 406; N. A. Indian: *Thompson Tales 322 n. 165, (Cali- fornia): Gayton and Newman 68; Africa (Zulu): Callaway 72, 105, (Kaffir): Theal 149.
A1263.1.1.	Man created from blood-clot.
T541.1.1.1.	Boy created by saint from blood-clot. Irish myth: Cross.
T541.2.	Birth from wound or abscess. *Type 705; Fb "orm" II 759b; Oceanic: Dixon 113, 234 n. 44, 251 nn. 18-22; Haiti: Alexander Lat. Am. 29; Africa: *Werner 156f., 222.
T541.2.1.	Birth from wound or abscess on body of father. Cosquin Études 257, Contes indiens 196ff.; Moe Samlede Skrifter I 43ff.; Greek: Grote I 10; India: *Thompson-Balys; Philippine (Tinguian): Cole 18 n. 2, 30 n. 3, 38, 81, 87, 144, 151; N. A. Indian: *Thompson Tales 341 228, 229; Africa (Mkulwe): Einstein 18f. nn.
T541.2.1.1.	Child born of splinter in hand (foot). India: Thompson- Balys; N. A. Indian: *Thompson Tales 341 n. 228.
T541.3.	Birth from tears. India: Thompson-Balys; Hindu: Keith 141; N. A. Indian: *Thompson Tales 323 n. 166a.
T541.4.	Birth from person's head. *Fb "barn" IV 27a; Greek: *Frazer Apollodorus I 25 n. 2; India: Thompson-Balys; Hindu: Keith 121.
T541.4.1.	Birth from mouth. Jewish: Neuman.
T541.5.	Birth from man's thigh. *Fb "barn" IV 27a; Gaster Oldest Stories 127.
T541.5.1.	Birth from woman's thigh. Japanese: Ikeda.
T541.6.	Birth from an arm. Micronesia: Dixon 251 nn. 18-22; S. A. In- dian (Toba): Métraux MAFLS XL 98.
T541.7.	Birth from an eye. Micronesia: Dixon 251 nn. 18-22.
T541.8.	Birth from secretions of the body. N. A. Indian: *Thompson Tales 323 n. 166b.
A1263.3.	Man created from rubbings of skin.   ## p. 397 (#401) ############################################  T. Sex 397
T541.8.1.	Birth from excrement. Jewish: *Neuman.
T541.8.2.	Birth from spittle. (Cf.
T533.	) S. A. Indian (Yana): Curtin Creation Myths 348.
T541.8.3.	Birth from mucus from the nose. Hindu: Keith 141; N. A. In- dian: *Thompson Tales 352 n. 269.
T541.8.3.1.	Child born through nose. India: Thompson-Balys; Africa (Upoto): Einstein 122.
T541.9.	Birth from contact of severed male genitals with ground. Greek: Frazer Apollodorus I 5 n. 4.
T541.10.	Birth from semen thrown on ground. Irish myth: Cross; Greek: Frazer Apollodorus II 90 n. 1.
T541.11.	Birth from lotus issuing from a god's navel. Hindu: Keith 120.
T541.12.	Birth from nine mothers. (Cf.
A112.5.	) Icelandic: MacCulloch Eddic 153 (Heimdall).
T541.13.	Birth from man's shoulder. India: Thompson-Balys.
T541.14.	Birth through the ear. Africa (Upoto): Einstein 122.
T541.15.	Birth through the back. Africa (Upoto): Einstein 122.
T541.16.	Birth from knee. S. A. Indian (Tucuna): Nimuendajú BBAE CXLIII (3) 724.
T542.	Birth of human being from an egg. (Cf.
F611.1.11.	) *Type 650; Christiansen Norske Eventyr 92; *Fb "æg" III 1142b; Greek: Frazer Apollodorus II 23 n. 7, 25 n. 1, Fox 24f., 203; India: *Thompson-Balys; Hindu: Keith 139; Indo-Chinese: Scott Indo-Chinese 276, 292; Chin- ese: Graham; Buddhist myth: Malalasekera I 757, 787; Korean: Zong in-Sob 5 No. 2; S. A. Indian (Chincha): Alexander Lat. Am. 230; Africa (Basuto): Jacottet 110.
T542.1.	Shepherdess born of red and blue egg. India: Thompson-Balys.
T543.	Birth from plant. Japanese: Ikeda; Africa (Gold Coast): Barker and Sinclair 77 No. 12, (Ekoi): Talbot 133ff., (Ibo, Nigeria): Thomas 76.
T543.0.1.	Twig, born of a woman, is planted and becomes a girl. (Cf.
T555.	) BP II 125.
T543.1.	Birth from a tree. Greek: Fox 198; Chinese: Eberhard FFC CXX 84; Indonesia: DeVries's list No. 159.
T543.2.	Birth from flower. Irish myth: Cross; Armenian: Ananikian 45; Hindu: Penzer VI 15 n. 3.
T543.2.1.	Birth from lotus. Buddhist myth: Malalasekera I 299, II 135, 247, 527, 1150.
T543.3.	Birth from fruit. *Penzer VI 15. n. 3; Armenian: Ananikian 45; India: *Thompson-Balys; Japanese: Anesaki 313, Ikeda; Africa (Ekoi): Talbot 134.
T555.1.	Woman gives birth to a fruit.
T543.3.1.	Birth from orange. India: Thompson-Balys.
T543.4.	Birth from fungus. Africa (Ekoi): Talbot 135.   ## p. 398 (#402) ############################################  398 Motif-Index of Folk-Literature
T543.5.	Birth from gourd. India: *Thompson-Balys.
T543.6.	Birth from grass (grain).
T543.6.1.	Birth from wheat. India: Thompson-Balys.
T543.7.	Birth from vegetable. India: Thompson-Balys.
T544.	Birth from mineral.
T544.1.	Birth from rock. Ploss Das Kind I 33; Gaster Oldest Stories 125; Caucasian: von Löwis of Menar Archiv f. Religionwiss. XIII 509ff., XV 305; Greek: Fox 213; Chinese: Eberhard FFC CXX 94 No. 52; Melanesia: Dixon 119, Codrington 156.
T544.2.	Boy forged from iron (Cf.
F611.1.12.	) *Type 540; Christiansen Norske Eventyr 92; *Fb "jærn" II 60b.
T545.	Birth from ground. Greek: Grote I 52; Hindu: Keith 127; N. A. In- dian: *Thompson Tales 314 n. 139.
F516.2.1.	Six-armed earth-born men.
T546.	Birth from water.
T546.1.	Birth from sea-foam. N. A. Indian (Zuñi): Stevenson RBAE XXIII 24.
A114.1.	Deity born from sea-foam.
A114.1.1.	Goddess born from sweat of rock washed by sea.
A1261.1.	Man created from sea-foam.
T546.2.	Birth from hailstone. India: Thompson-Balys.
T547.	Birth from virgin. Saintyves Saints Successeurs 220ff., 271-77; Greek: Grote I 10, 55; S. A. Indian (Chiriguano): Métraux RMLP XXXIII 154.
V312.	Belief in Immaculate Conception.
T548.	Birth obtained through magic or prayer. Buddhist myth: Mala- lasekera II 1163, 1258; S. A. Indian (Inca): Rowe BBAE CXLIII (2) 318.
D1347.	Magic object produces fecundity.
D1925.	Fecundity magically induced.
T548.1.	Child born in answer to prayer. *Prato RTP IV 177; Toldo I 321 n. 1; Spanish: Boggs FFC XC 77, 113 Nos. 650, 936; Italian: Basile Pentamerone I No. 2; Jewish: Neuman, Gaster Thespis 270f.; India: *Thompson-Balys; Chinese: Eberhard FFC CXX 76f.; Japanese: Ikeda; Korean: Zong in-Sob 1 No. 4, 171 f. No. 74; West Indies: Flowers 578.
C758.1.	Monster born because of hasty wish of parents.
D1766.1.	Magic results produced by prayer.
J2067.1.	Sacrifice of one son to get another.
Q140.	Miraculous or magic rewards.
S223.	Childless couple promise child to the devil if they may only have one.
T513.	Conception from wish.
T553.	Thumbling born as result of hasty wish of parents.
T548.1.1.	Hateful or lovely child to be born first? Childless parents' prayer answered: they are to have two children, one hateful, one lovely. Choice as to which is to come first. Köhler-Bolte I 520ff.
T548.2.	Magic rites for obtaining a child. *Type 711; Christiansen Norske Eventyr 98; Penzer VI 14; Hawaii: Beckwith Myth 284.
T548.3.	Magic elixir to procure a child. Penzer III 218f.
T548.4.	Charity rewarded by birth of child. India: Thompson-Balys.
T549.	Miraculous birth-miscellaneous.   ## p. 399 (#403) ############################################  T. Sex 399
T549.1.	Vegetable comes to life at woman's prayer. Africa (Gold Coast): Barker and Sinclair 77 No. 12.
T549.2.	Thrown cane becomes child. N. A. Indian (California): Gayton and Newman 75.
T549.3.	Boy born from fish's belly. India: Thompson-Balys.
T549.3.1.	Fish when slit open gives up baby boy. India: Thompson- Balys.
T549.4.	Child born from miscarried fetus. Philippine (Tinguian): Cole 68, 83, 89.
T549.4.1.	Child born from placenta. Philippine (Tinguian): Cole 79.
T550.	Monstrous births. *Types 425, 708; *Hibbard 48 n. 6; Tegethoff 24; BP II 236; Irish: MacCulloch Celtic 155, *Cross; U.S.: Baughman; Breton: Sébillot Incidents s.v. "accouchement"; Eskimo (Greenland): Rasmussen III 145.
T550.1.	
B20.	Beast-men. Combinations of bestial and human forms.
B96.	Beast with human head and shape of smith's bellows.
B634.	Monstrous offspring from animal marriage.
C101.	Sex tabu broken: child born without bones.
C993.	Unborn child affected by mother's broken tabu.
E474.1.	Offspring of living and dead person.
F510.	Monstrous persons.
L112.1.	Monster as hero.
M437.	Curse: monstrous birth.
Q552.5.	Mons- trous births as punishment for girl's pride.
S325.0.1.	Monstrous (de- formed) child exposed. Monster child helps mother. *Type 708; BP II 236; Japanese: Ikeda.
T550.2.	Abnormally born child has unusual powers. *Fb "ufødt" III 961b; Japanese: Ikeda; West Indies: Flowers 578.
T550.3.	Misshapen child from brother-sister incest. (Cf.
T415.	) Halliday Indo-European Folk-Tales (London, 1933) 134; Greek: Fox 33: Chinese: Werner 408.
T550.4.	Monstrous birth because mother sees horrible sight. England: Baughman; Ploss Das Kind 21ff.
T550.5.	Blemished children born of monstrous parent. Irish myth: Cross.
T550.6.	Only half a son is born by queen who ate merely half of mango. (Cf. F525,
T589.2.	) India: Thompson-Balys.
T550.7.	Poor woman gives birth to child who has no body (merely head or skull). India: Thompson-Balys.
T551.	Child with extraordinary members (limbs).
T551.1.	Child born without limbs. English: Wells 122 (The King of Tars); Africa (Kaffir): Theal 72.
F516.1.	Armless people.
T551.1.1.	Child born as formless lump of flesh. Icelandic: Ragnars saga Lodbrokar (ed. Olsen, Copenhagen, 1906-08) 129; *Schlauch Chaucer's Constance and Accused Queens (New York, 1927) 126; *Hornstein Philological Quarterly XX 1; Buddhist myth: Malalasekera II 782, 1268f.
T551.2.	Child born with two heads. (Cf.
F551.0.2.1.	) Africa (Angola): Chatelain 117 No. 9.
T551.3.	Child born with animal head. Type 711; Christiansen Norske Eventyr 99.   ## p. 400 (#404) ############################################  400 Motif-Index of Folk-Literature
T551.3.1.	Child with dog's head. India: Thompson-Balys.
T551.3.2.	Child with hawk's head. India: Thompson-Balys.
T551.3.3.	Monstrous birth: child with donkey's head. India: Thompson- Balys.
T551.3.4.	Child with cow's head.
T551.3.4.1.	Person born with cow's ears. (Cf.
F511.2.2.	) Chinese: Graham.
T551.3.4.2.	Child born with horns. Greek: Grote I 18.
T551.4.	Boy born with one side flesh and one iron. Africa (Kaffir): Theal 129.
T551.4.1.	
D2031.4.1.	Druid makes self appear ugly on one side, beautiful on other.
F525.1.1.	Man with one side of stone (iron). Child born beautiful on one side, hairy on other. Hibbard 45ff. (King of Tars); Irish myth: Cross.
T551.5.	Child born half man, half fish. Italian Novella: Rotunda.
T551.6.	Child born without mouth. Irish myth: *Cross.
T551.7.	Child born with one ear. Irish myth: Cross.
T551.8.	Child born with caul (containing serpent). Irish myth: *Cross.
T551.9.	Child born with claws as result of curse by dying peddler murdered by its parents. U.S. (New York State): *Baughman (
M411.3.1.	1).
T551.10.	Monstrous birth nine faces, nine arms, nine feet. Chinese: Graham.
T551.11.	Birth of one-eyed child. (Cf.
F512.1.	) India: Thompson-Balys.
T551.12.	Child born with one leg. Eskimo (Greenland): Rasmussen I 179.
T551.13.	Child born hairy. Jewish: Neuman.
T551.13.1.	Child born with long hair. Jewish: *Neuman.
T551.13.2.	Child born with long beard. Jewish: Neuman.
T551.14.	Child with all of its organs out of place. Buddhist myth: Malalasekera I 270.
T551.15.	Child born blood-red. Jewish: *Neuman.
T552.	Child born bearing an object.
H71.7.	Child born with chain around neck. Sign of royalty.
T552.1.	Girl born with red string around neck. Fb. "rød".
T552.2.	Child born with snake around neck. Fb. "slange"; Italian No- vella: Rotunda.
T552.2.1.	Child born bearing lizard in each hand. Irish myth: Cross.
T552.2.2.	Child born holding worm (in each hand). Irish myth: *Cross.
T552.3.	Child born carrying knife and calabash. Africa (Ekoi): Talbot 32.
T552.4.	Child born carrying handful of hair. Africa (Fjort): Dennett 56 No. 10.
T552.5.	Child born with complete armor. Hartland Perseus III 198; Hungarian: Ipolyi Zs. f. deutsche Mythologie und Sittenkunde II 168; Malay: Overbeck Malaiische Erzählungen 12; Africa: Frobenius Atlantis IV 300, XII 125.   ## p. 401 (#405) ############################################  T. Sex 401
T552.5.1.	Child born wearing helmet. Irish myth: Cross.
T552.5.2.	Child born with magic iron bow. India: Thompson-Balys.
T552.5.3.	Child born with knife and shield. Africa (Upoto): Einstein 120.
T552.6.	Child born carrying a stone. Irish myth: Cross.
T552.7.	Child born wearing jewel. India: Thompson-Balys.
T552.8.	Daughter born with a feathered parka. Eskimo (Kodiak): Golder JAFL XXII 21.
T553.	Thumbling born as result of hasty wish of parents. They wish for a child, no matter how small he may be. *Type 700; *BP I 389ff.; India: Thompson-Balys; Japanese: Anesaki 286, Ikeda.
C758.1.	Monster born because of hasty wish of parents.
F535.1.	Thumbling. Person the size of a thumb.
S223.	Childless couple promise child to the devil if they may only have one.
T548.1.	Child born in answer to prayer.
T554.	Woman gives birth to animal. Type 441; BP II 236ff., 482ff.; *Fb "hund" I 678b; Irish myth: *Cross; Icelandic: MacCulloch Eddic 279; Italian Novella: Rotunda; Greek: Fox 108, 211; India: Thompson-Balys; Africa (Zulu): Callaway 105, 268, (Kaffir): Theal 148.
B632.	Animal offspring from marriage to animal.
K2115.	Animal- birth slander. A woman is accused of having given birth to animals.
M437.1.	Curse: "What I carry may you carry; what you carry may I carry."
T465.	Bestiality.
T554.0.1.	Woman transformed to animal bears animal. (Cf.
T578.2.	) Irish: MacCulloch Celtic 169, *Cross.
T554.1.	Tiger, spirit, and man sons of one mother. India: Thompson- Balys.
T554.2.	Woman bears dog. India: Thompson-Balys.
T554.3.	Woman bears crane. India: Thompson-Balys.
T554.4.	Woman bears monkey. India: *Thompson-Balys.
T554.5.	Woman bears tortoise (turtle). India: *Thompson-Balys.
T554.6.	Woman bears goat. India: Thompson-Balys.
T554.7.	Woman gives birth to a snake. India: Thompson-Balys; S. A. Indian (Brazil): Oberg 108; Africa (Upoto): Einstein 120.
T554.8.	Woman bears frog. India: Thompson-Balys.
T554.8.1.	Woman gives birth to toad. Chinese: Graham.
T554.9.	Woman bears three pigs. Philippine (Tinguian): *Cole 116.
T554.10.	Woman gives birth to a bird. Mono-Alu: Wheeler No. 20.
T554.11.	Supernaturally impregnated woman gives birth to dragon. Chinese: Eberhard FFC CXX 102 No. 60.
T555.	Woman gives birth to a plant. (Cf.
T543.0.1.	) BP II 125; Italian: Basile Pentamerone I No. 2; Persian: Carnoy 295.
T555.1.	Woman gives birth to a fruit. Can transform itself to girl. India: Thompson-Balys.
D630.	Transformation and disenchantment at will.
T543.3.	Birth from fruit. 26   ## p. 402 (#406) ############################################  402 Motif-Index of Folk-Literature
T555.1.1.	Woman gives birth to pumpkin. Chinese: Eberhard FFC CXX 77.
T555.2.	Queen gives birth to a gourd. India: Thompson-Balys.
T556.	Woman gives birth to a demon. Type 433B; Hindu: Meyer Hindu Tales 62, 117, 165.
S223.1.	Girl promises unborn child to devil if he will suffer the birth pangs.
T554.1.	Tiger, spirit, and man sons of one mother.
T557.	Child born with viper in heart (body). Irish myth: *Cross.
T561.	Child born in a jug (jar). Penzer IX 89 n. 3; N. A. Indian: Thompson Tales 323 n. 166c; Africa (Kaffir): Theal 149.
T561.1.	Child born in conch shell. India: *Thompson-Balys.
T561.2.	Child born in a furnace. India: Thompson-Balys.
T561.3.	Child born in a bag. India: Thompson-Balys.
T561.4.	Child born in pot. India: Thompson-Balys; S. A. Indian (Toba): Métraux MAFLS XL 40, 97ff., 129-33, BBAE CXLIII (1) 368.
T562.	White woman bears black child. Fb “prins og prinsesse" II 876.
T563.	Birthmarks. Irish myth: Cross; Icelandic: Boberg.
H71.1.	Star on forehead as sign of royalty.
T563.1.	Child of three fathers born with three stripes. Irish myth: *Cross.
T563.2.	Child formed of clot of gore has red birthmark. (Cf.
T541.1.1.	) Irish myth: *Cross.
T563.3.	Child born with figure of serpent on his body. Jewish: *Neuman.
T563.4.	Tattoo on newly born baby's back telling who was his former incarnation. Korean: Zong in-Sob 76 No. 41.
E600.	Reincarnation.
T565.	Woman lays an egg. (Cf.
T542.	) Fb "æg" III 1142b; Chinese: Eberhard FFC CXX 77; Korean: Zong in-Sob 5 No. 2; S. A. Indian (Huamachuco): Métraux RMLP XXXIII 151.
T566.	Human son of animal parents. India: Thompson-Balys.
T569.	Monstrous births—miscellaneous.
T569.1.	Queen delivered of a piece of flesh; abandoned and saved, it gradually separates into forms of boy and girl. India: Thompson- Balys.
T569.2.	Woman gives birth to grinding-stone. Chinese: Eberhard FFC CXX 68.
T570.	Pregnancy. India: Thompson-Balys.
C152.	Tabus during pregnancy.
D1352.1.	Magic net has prenatal in- fluence.
T571.	Unreasonable demands of pregnant women. *Penzer I 97 n. 1, 221ff., II 31, III 60, V 127 n. 2, VII 201, IX 144; Cowell Jātaka Index s.v. "pregnancy"; *M. Bloomfield in Penzer VII vii, JAOS XL 1; Child II 408f., 414; Loomis White Magic 20. Irish: Mac Culloch Celtic 176, *Cross; India: *Thompson-Balys; Japanese: Ikeda; Philippine (Tinguian): Cole 95, 98; Maori: Dixon 60; Indonesian,   ## p. 403 (#407) ############################################  T. Sex 403 Polynesian: ibid 233 n. 42; Sumatran: ibid. 161; Batak: Voorhoeve 141; Eskimo (Greenland): Rasmussen III 51; Africa (Ekoi): Talbot 374, (Angola): Chatelain 83 No. 4, (Ila, Rhodesia): Smith and Dale II 414 No. 13; West Indies: Flowers 578.
C152.2.	Tabu: refusing unreasonable demand of pregnant woman.
H936.	Tasks assigned because of longings of pregnant woman.
H1212.2.	Quest assigned by wife through appeal to husband's love for her.
N335.2.	Pregnant woman demands a bath of blood.
T572.	Prevention of childbirth.
Q251.	Punishment for refusal to have children.
Q431.4.	Banishment till rose grows from table for preventing childbirth.
T572.1.	Magic prevention of childbirth. *Type 755; *Hauffen Zs. f. Vksk. X 436ff.; *Kittredge Witchcraft 113f., 442f. nn. 79-84; *Fb "sten" III 554a; Irish myth: *Cross.
T589.8.	Woman strives to delay birth until auspicious day.
T572.1.1.	Mother sits on stone to prevent premature birth. Irish myth: *Cross.
T572.2.	Abortion. *Encyc. Rel. Ethics VI 54ff.; *Penzer II 229; Irish myth: *Cross; Jewish: Neuman; India: Thompson-Balys.
T572.2.1.	Abortion by vomiting up embryo. Irish: MacCulloch Celtic 84, *Cross.
T572.2.2.	Abortion by eating. Child I 341, 343f., 352, 354, III 387, 393, IV 456; Gaster Oldest Stories 121.
T572.2.3.	Hero an abortion thrown into the bushes. Maori: Dixon 42.
L111.	Hero (heroine) of unpromising origin.
Z210.1.	Lodge-Boy and Thrown-Away as joint adventurers. Of brothers (sometimes twins taken from body of slain mother) one is abandoned and becomes wild. Later he joins his brother.
T572.2.4.	Abortion by fasting. Irish myth: Cross.
T572.2.5.	Abortion caused by fear. Irish myth: Cross.
T572.2.6.	Abortion by long bathing. India: Thompson-Balys.
T573.	Short pregnancy. Jewish: *Neuman; Koryak: Jochelson JE VI 375; N. A. Indian: *Thompson Tales 309 n. 116; S. A. Indian (Chiriguano): Métraux RMLP XXXIII 142, (Uru-Chipaya): ibid 169, (Inca): Rowe BBAE CXLIII (2) 318.
T573.0.1.	Short pregnancy in animals. Irish myth: *Cross.
T573.1.	Woman conceives and bears same day. Irish myth: Cross; India: Thompson-Balys. -
T574.	Long pregnancy. Delayed by an enemy who bewitches the mother. *Toldo I 337, II 313; *Frazer Pausanias V 45f.; *Fb "føde" I 398; Tegethoff 41; Köhler-Bolte Zs. f. Vksk. VI 63 (to Gonzenbach No. 12); Child I 82ff., 489, III 497, V 285b. Irish: Thurneyson I 274, *Cross; Icelandic: Boberg; Finnish: Kalevala rune 1; Greek: *Frazer Apollodorus I 166 n. 2; Persian: Carnoy 331; Chinese: Wilhelm Chinesische Märchen Nos. 15, 18, 29; Batak: Frazer Golden Bough I 143; Philippine (Tinguian): Cole 180; Madagascar: Dandoyau Contes populaires des Sakalava No. 57.
Q559.5.1.	Girl punished for slander against bishop. She is prevented from giving birth to her child until she admits slander is lie.
T582.3.	Knots to be untied at childbirth.
T574.1.	Long pregnancy: twelve months. India: *Thompson-Balys. 26*   ## p. 404 (#408) ############################################  404 Motif-Index of Folk-Literature
T574.2.	Long pregnancy: seven years. Jewish: *Neuman; India: *Thomp- son-Balys; Buddhist myth: Malalasekera I 208, II 1222.
T575.	Child speaks before birth. (Cf.
A511.1.2.	)
T575.1.	Child speaks in mother's womb. *Chauvin VII 112 No. 379bis n. 1, VIII 63 No. 27; *Fb “ufødt” III 962a; **Colson "L'enfant qui parle avant d'être né" Mélusine V No. 2; Gaidoz Mélusine IV No. 10; *Toldo I 338f.; DeVries FFC LXXIII 322, 325f.; Hdwb. d. Märchens I 102, 520; Child III 367 nn., IV 507a, V 298a; Krappe Zeitschrift für deutsches Altertum LXXII (1935) 161-71; Saintyves Saints Suc- cesseurs 253. Irish: MacCulloch Celtic 207, *Cross; Jewish: *Neu- man; Persian: Carnoy 335; India: *Thompson-Balys; S. A. Indian (Aztec): Alexander Lat. Am. 60, (Tupinamba): Métraux RMLP XXXIII 133, (Warrau): ibid. 145; Africa (Angola): Chatelain 85 No. 5, (Kaffir): Theal 89, (Zulu): Callaway 6. -
T575.1.1.	Child in mother's womb reveals crime. BP II 535; Spanish Exempla: Keller.
D1318.	Magic object reveals guilt.
D1817.	Magic detection of crime.
N271.	Murder will out.
T575.1.1.1.	Child in mother's womb reveals murder. BP II 535.
T575.1.1.2.	Child in mother's womb reveals adultery. DeVries FFC LXXIII 322, 325f.
T575.1.1.3.	Child in mother's womb reveals unjust judgment. DeVries FFC LXXIII 322, 325f.; Loomis White Magic 23f.
T575.1.2.	Future suicide weeps in mother's womb. Fb "selvmord".
T575.1.3.	Twins quarrel before birth in mother's womb. *Krappe Balor 31 n. 109; Greek: *Frazer Apollodorus I 145 n. 4; Jewish: *Neu- man; N. A. Indian: *Thompson Tales 279 n. 33.
A511.1.2.1.	Twin culture heroes quarrel before birth.
T575.1.4.	Future poet chants spell in mother's womb. Irish myth: Cross.
T575.1.5.	Children in mothers' wombs praise God at birth of Christ. Irish myth: Cross.
T575.1.5.1.	Embryos in womb join melody and sing. Jewish: Neuman.
T575.1.6.	Child in mother's belly guides her. S. A. Indian (Warrau): Métraux RMLP XXXIII 145, (Karib): ibid. 146.
T575.1.6.1.	Unborn child directs his mother on journey. S. A. Indian (Karib): Métraux RMLP XXXIII 146, (Chiriguano): ibid 154, 160, 165, (Tupinamba): Métraux BBAE CXLIII (3) 132.
T575.2.	Woman talks to her child before it is conceived. N. A. Indian (Blackfoot): Wissler and Duvall PaAM II 126.
T575.3.	Child speaks from dead mother's womb. (Cf.
T584.2.	) India: Thompson-Balys.
T575.4.	Child in mother's womb visible from outside. Buddhist myth: Malalasekera II 325, 609.
T576.	Prenatal influences. India: Thompson-Balys.
C152.	Tabus during pregnancy.
T577.	Fetus exchanged from one woman to another. India: Thompson- Balys; Hindu: Keith 171, 223.   ## p. 405 (#409) ############################################  T. Sex 405
T577.1.	Male embryo transformed in womb to female. Jewish: Neu- man. -
T578.	Pregnant man. *Type 705; *Fb "frugtsommelig" I 376b; DeVries FFC LXXIII 268; von der Hagen II 53ff. No. 24; Christensen DF XLVII 227 No. 93, L 72. Irish myth: Cross; Icelandic: MacCulloch Eddic 145 (Loki); Koryak: Jochelson JE VI 324; Eskimo (Greenland): Rink 444, (West Hudson Bay): Boas BAM XV 326; N. A. Indian: *Thompson Tales 323 n. 166d; Africa (Basuto): Jacottet 196 No. 29.
H791.	Riddle: a fish was my father; a man was my mother. Man eats magic fish and becomes pregnant; a girl is taken from his knee.
J2321.	Man made to believe that he is pregnant (has borne child).
T578.1.	Child incubated in man's thigh. Greek: *Frazer Apollodorus I 319 n. 3 (Zeus and Dionysus).
T578.2.	Man transformed to female (human or animal) bears offspring. (Cf.
T554.0.1.	) Irish myth: *Cross.
T579.	Pregnancy—miscellaneous motifs.
T579.1.	Sheath and knife as analogy for mother and unborn child. Child V 486 s.v. "knife"; Eskimo: Rink No. 2.
T579.2.	Girl's blood examined to see if she is pregnant. Fb "blod" IV 48a.
T579.3.	Seven-year-old girl has child. Gaster Exempla 230 No. 247.
T579.3.1.	Seven-year-old boy begets child. Irish myth: Cross.
T579.4.	Mother of saint has healing spittle during pregnancy. Irish myth: Cross.
T579.5.	Saint performs miracles while yet unborn. (Cf.
D1713.	) Irish myth: Cross.
T579.6.	Worm swallowed at conception eats hand of babe before birth. (Cf.
T511.5.2.	) Irish myth: Cross.
T579.7.	King demands that his pregnant queen be chained to him. India: Thompson-Balys.
T579.8.	Signs of pregnancy.
T579.8.1.	Transparent body of pregnant woman. Jewish: Neuman.
T579.8.2.	Girl paints face because pregnant. S. A. Indian (Chiriguano): Métraux RMLP XXXIII 154.
T579.8.3.	Girl betrays pregnancy by dropping milk on brother. Philippine (Tinguian): Cole 87.
T580.	Childbirth. Irish myth: Cross.
A112.	Birth of gods.
C151.	Tabu: man's presence at childbirth.
D1361.8.	Heart of unborn child renders person invisible.
K1923.6.	Queen passes off girl-child as boy by having pandits say raja must not see his son for twelve years.
Q192.	Child given as reward for prayer.
T580.1.	Jewess must entreat Virgin before she can bear her child. Irish myth: Cross.
T581.	Place and conditions of childbirth.
T581.1.	Birth of child in forest. Dickson 168 n. 19; Irish myth: *Cross; Icelandic: *Boberg.   ## p. 406 (#410) ############################################  406 Motif-Index of Folk-Literature
T581.2.	Child born of woman abandoned in pit. Indonesian, Polynesian: Dixon 234 n. 43.
G72.2.	Starving woman abandoned in cave eats newborn babe.
S435.	Cast-off wife abandoned in pit,
