ref_term,usage_count,category,subcategory,confidence,toponym,explanation,coordinates,notes
Chatham Islands,1,geographic,island_group,1.0,Chatham Islands,"An archipelago located in the Pacific Ocean, about 800 km east of New Zealand's South Island. The islands are a territory of New Zealand and were historically home to the indigenous Moriori people.","[-43.9, -176.5]",
Chincha (Peru),1,geographic,region,0.9,Chincha,Chincha refers to both an ancient Pre-Columbian culture and a modern province in the Ica Region of Peru. The Chincha were a pre-Inca civilization known for their maritime trade networks. Today it's a province and city in southern Peru.,"[-13.4197, -76.132]",
Chuh (Guatemala),1,ethnic_tribal,indigenous_group,0.9,Huehuetenango Department,"The Chuh (also spelled Ch'uj or Chuj) are an indigenous Maya people primarily located in the Huehuetenango Department of western Guatemala, speaking the Chuj language","[15.7167, -91.4833]",
Chuvashan,1,ethnic_tribal,indigenous_group,0.9,Chuvashia,"Refers to the Chuvash people, a Turkic ethnic group native to the Chuvash Republic (Chuvashia) in Russia. They have their own distinct language and cultural traditions.","[55.4, 47.2]",
Colombia,1,geographic,country,1.0,Colombia,"Modern nation in northern South America, bordered by Panama, Venezuela, Brazil, Peru and Ecuador. Former Spanish colony that gained independence in 1810. Rich in folklore traditions blending indigenous, European and African influences.","[4.57, -74.29]",
Corsican,1,geographic,island_region,0.95,Corsica,"Refers to people, culture, and language from the Mediterranean island of Corsica, which is a territorial collectivity of France. Corsicans have a distinct cultural identity, language, and traditions.","[42.0396, 9.0129]",
Crow,1,ethnic_tribal,indigenous_group,0.95,"Crow Reservation, Montana",The Crow (Apsáalooke) are a Native American tribe historically inhabiting the Yellowstone River valley. They now primarily reside on the Crow Indian Reservation in south-central Montana.,"[45.6, -107.4]",
Diegueso,1,ethnic_tribal,indigenous_group,0.9,San Diego County,"Diegueno (or Diegueño) refers to the Indigenous peoples historically associated with the San Diego region of California, particularly the Kumeyaay/Tipai-Ipai peoples. The name derives from their association with the Spanish Mission San Diego de Alcalá.","[32.7157, -117.1611]",
Ditmarsch,1,geographic,historical_region,0.9,Dithmarschen,"Historical region and modern district in northern Germany (Schleswig-Holstein) that was once an independent peasants' republic. Known as 'Ditmarsch' in older texts and folklore, it has a rich history of folk traditions and was notable for maintaining independence until the 16th century.","[54.1, 9.1]",
Duala,1,ethnic_tribal,indigenous_group,0.9,Douala,"The Duala (also spelled Douala) are an ethnic group of Cameroon, primarily located around the coastal city of Douala and the mouth of the Wouri River. They are part of the Sawa ethnic groups and historically were involved in coastal trade during colonial periods.","[4.0511, 9.7679]",
East Gothic,1,ethnic_tribal,germanic_tribe,0.9,Ravenna,"Refers to the East Germanic Gothic people, specifically the Ostrogoths who established a kingdom in Italy in the late 5th-6th centuries CE. Their center of power was in Ravenna, though they previously inhabited regions around the Black Sea.","[44.4175, 12.2011]",
Ellice Island,1,geographic,island_nation,0.95,Tuvalu,"The Ellice Islands were a British protectorate that, along with the Gilbert Islands, formed the Gilbert and Ellice Islands colony. In 1978, the Ellice Islands became the independent nation of Tuvalu, a group of nine coral atolls in the South Pacific Ocean.","[-8.52, 179.19]",
Eskimo (West Greenland),1,ethnic_tribal,indigenous_group,0.95,West Greenland,"Refers to Inuit people specifically from the western coast of Greenland. While 'Eskimo' is considered outdated terminology in many regions, it was historically used to refer to Inuit and Yupik peoples. West Greenland has traditionally been the most populated area of Greenland with numerous Inuit settlements.","[68.7, -52.0]",
Espinosa,1,geographic,surname/region,0.8,Burgos Province,"Espinosa is a Spanish surname and place name, with notable origins in northern Spain, particularly the Burgos province. It's also commonly found in folklore and cultural collections from Spanish-speaking regions. The name derives from 'espino' meaning 'hawthorn' in Spanish.","[42.7405, -3.6963]",
Etruscan,1,ethnic_tribal,ancient_civilization,0.95,Tuscany,"Ancient civilization that flourished in central Italy (primarily modern Tuscany) between 800-300 BCE, predating and significantly influencing Roman culture. Known for their distinct language, sophisticated art, and advanced engineering.","[43.3, 11.0]",
Farau,1,geographic,historical_settlement,0.7,Farah,"Likely refers to Farau/Farah, a historical settlement area in western Afghanistan. The term appears in some Central Asian folklore and historical accounts.","[32.3667, 62.1167]",
Faroe islands,1,geographic,archipelago,1.0,Faroe Islands,"An archipelago of 18 islands between Great Britain and Iceland, located in the North Atlantic Ocean. A self-governing territory of the Kingdom of Denmark with distinct cultural and linguistic traditions.","[62.0, -6.8]",
Fdroe,1,geographic,archipelago,0.9,Faroe Islands,"This appears to be a misspelling or variant of 'Faroe', referring to the Faroe Islands, an archipelago between Scotland and Iceland. The islands have a rich folklore tradition and distinct cultural heritage.","[62.0, -6.8]",
Fuegian,1,geographic,indigenous_region,0.95,Tierra del Fuego,"Refers to indigenous peoples and culture of Tierra del Fuego archipelago at southern tip of South America, particularly the Yaghan and Selk'nam peoples who historically inhabited the region","[-54.8, -67.7]",
Gaster,1,linguistic,surname,0.8,England,"Gaster is an Anglo-Saxon surname and likely refers to Moses Gaster (1856-1939), a prominent Jewish folklorist and linguist who made significant contributions to folklore studies, particularly Romanian and Jewish folklore while working in England","[51.5074, -0.1278]",
Georgia,1,geographic,country,0.9,Georgia,"Could refer to either the country of Georgia in the Caucasus region or the U.S. state of Georgia. In folklore contexts, it most commonly refers to the country Georgia, which has rich folklore traditions dating back to ancient times, including the famous Georgian epic poetry and polyphonic singing traditions.","[41.99, 43.5]",
Gonzenbach,1,geographic,collector_nationality,0.9,Sicily,"Refers to Laura Gonzenbach (1842-1878), a Swiss-born folklore collector who compiled Sicilian fairy tales and folk stories in her work 'Sicilianische Märchen' (1870). The term is commonly used in folklore indexes to reference tales from her Sicilian collection.","[37.5943, 14.0015]",
Greek-Roman,1,temporal,classical_period,0.9,Mediterranean Basin,"Refers to the combined cultural sphere of ancient Greece and the Roman Empire, particularly during the Classical and Hellenistic periods (roughly 500 BCE - 500 CE). This term is commonly used to describe the shared mythological, artistic and cultural traditions that emerged from both civilizations.","[40.9, 23.5]",
Halmahera,1,geographic,island,0.95,Halmahera,Halmahera is the largest island in the Maluku Islands (Moluccas) of Indonesia. It is home to several indigenous ethnic groups and has historically been an important center of the spice trade. The island has a distinctive K-shape and is known for its unique biodiversity.,"[0.6, 128.0]",
Herero,1,ethnic_tribal,indigenous_group,0.95,Namibia,"The Herero are an ethnic group inhabiting parts of southern Africa, primarily Namibia. They are a Bantu people who traditionally practiced cattle-herding and were historically involved in significant conflicts with German colonial forces in the early 20th century.","[-22.5749, 17.0805]",
Honduran,1,geographic,country,1.0,Honduras,"Refers to people, customs, or folklore originating from the Central American country of Honduras, which has distinct cultural traditions blending indigenous, Spanish colonial, and Afro-Caribbean influences","[14.1, -87.2]",
Hopi,1,ethnic_tribal,indigenous_group,0.95,"Hopi Reservation, Arizona","The Hopi are a Native American tribe indigenous to northeastern Arizona, historically and currently residing on the Hopi Reservation. They are known for their rich cultural traditions, ceremonies, and pueblo-dwelling lifestyle in the high desert of the American Southwest.","[35.8806, -110.6956]",
Huichol,1,ethnic_tribal,indigenous_group,0.95,Nayarit,"The Huichol (or Wixáritari in their own language) are an indigenous people who primarily live in the Mexican states of Nayarit, Jalisco, and parts of Zacatecas. They are known for their colorful art, traditional ceremonies, and preservation of pre-Columbian cultural practices.","[21.7518, -104.8455]",
Hupa,1,ethnic_tribal,indigenous_group,0.95,Hoopa Valley,The Hupa (or Hoopa) are a Native American tribe traditionally inhabiting the Hoopa Valley in northwestern California along the Trinity River. They are known for their basketry and continue to maintain their tribal culture and reservation in this area.,"[41.05, -123.67]",
Igorot (Luzon),1,ethnic_tribal,indigenous_group,0.95,Cordillera Administrative Region,"The Igorot are indigenous peoples who live in the mountainous Cordillera region of northern Luzon, Philippines. They are composed of several ethnolinguistic groups including the Bontoc, Ibaloi, Ifugao, Kalinga, and Kankanaey peoples, known for their rich cultural traditions and historic rice terraces.","[17.3578, 121.0858]",
India (Kashmir),1,geographic,region,0.95,Kashmir Valley,"This refers to the Kashmir region, historically disputed territory between India, Pakistan and China, with particular focus on the Indian-administered Kashmir Valley and surrounding areas. The parenthetical qualifier specifies the Kashmir region within the broader Indian cultural sphere.","[34.0837, 74.7973]",
Indian (Baikairi),1,ethnic_tribal,indigenous_group,0.9,Mato Grosso,"The Bakairi (also spelled Baikairi) are an indigenous people of Brazil, primarily located in the state of Mato Grosso. They are a Cariban-speaking ethnic group living in the central Brazilian Amazon region.","[-13.0, -54.0]",
Indian (Cora),1,ethnic_tribal,indigenous_group,0.95,Nayarit,"The Cora are an indigenous ethnic group of western Mexico, primarily located in the Sierra del Nayar region of Nayarit state. The term 'Indian (Cora)' specifically refers to this Native American tribal group, who call themselves Naáyarite in their own language.","[22.0, -104.5]",
Indian (Sherente),1,ethnic_tribal,indigenous_group,0.95,Tocantins,"The Sherente (also spelled Xerente) are an indigenous people of Brazil, specifically located in Tocantins state. They are part of the Jê language family and maintain their traditional culture and language. The parenthetical notation '(Sherente)' is used to distinguish this specific indigenous group from other Indian/indigenous peoples.","[-9.3, -48.2]",
Indians (Antioquians),1,geographic,regional_identity,0.9,Antioquia Department,"Refers to indigenous peoples specifically from the Antioquia region of Colombia, a historically and culturally distinct department in northwestern Colombia. The term distinguishes these indigenous groups from others in Colombia.","[7.0, -75.5]",
Indo-China (Wa tribe),1,ethnic_tribal,indigenous_group,0.9,Shan State,"The Wa people are an ethnic group living primarily in the borderlands between Myanmar (Burma) and China, especially in Myanmar's Shan State and China's Yunnan Province. They are known for their traditional tribal culture and historically practiced headhunting.","[22.0, 99.0]",
Indo-Iranian,1,linguistic,language_family,0.95,Iranian Plateau,"Major branch of Indo-European languages including languages historically spoken across Iran, Afghanistan, Pakistan and northern India. Includes two main branches: Indo-Aryan and Iranian languages.","[32.0, 54.0]",
Indonesia (Soemba),1,geographic,island,0.95,Sumba,"Sumba (historically spelled Soemba) is an island in eastern Indonesia, part of the Lesser Sunda Islands in East Nusa Tenggara province. The island has a distinctive cultural heritage and is known for its unique textile traditions and megalithic culture.","[-9.6553, 120.2775]",
Iraq,1,geographic,country,1.0,Iraq,"Modern country in the Middle East, historically known as Mesopotamia, located between the Tigris and Euphrates rivers. Site of several ancient civilizations including Sumer, Babylon, and Assyria.","[33.2232, 43.6793]",
Isthmian tribes (Panama),1,ethnic_tribal,indigenous_group,0.9,Panama,"Refers to various indigenous peoples historically inhabiting the Isthmus of Panama, including groups like the Kuna, Emberá, and Ngäbe-Buglé peoples who lived in the narrow land bridge connecting Central and South America","[8.538, -80.7821]",
Istria,1,geographic,peninsula,0.95,Istrian Peninsula,"Istria is a triangular peninsula in the northern Adriatic Sea, shared by Croatia, Slovenia and Italy. It has a rich cultural history and distinct regional identity, with influences from Slavic, Italian, and Germanic cultures.","[45.2833, 13.9]",
Ivory Coast,1,geographic,country,1.0,Côte d'Ivoire,West African nation formerly known in English as 'Ivory Coast' (now officially Côte d'Ivoire in all languages). Named for the historical ivory trade along its coast. A former French colony that gained independence in 1960.,"[7.54, -5.54]",
Kabyle,1,ethnic_tribal,berber_group,0.95,Kabylia,The Kabyle people are a Berber ethnic group indigenous to Kabylia in northern Algeria. They speak the Kabyle language and have a distinct cultural identity within the larger Amazigh (Berber) population of North Africa.,"[36.5, 4.0]",
Kamchadale,1,ethnic_tribal,indigenous_group,0.9,Kamchatka Krai,Indigenous people (also known as Itelmen) of the Kamchatka Peninsula in Russia's Far East. They are one of the original inhabitants of the region before Russian colonization.,"[56.1167, 159.5167]",
Karok,1,ethnic_tribal,indigenous_group,0.95,Klamath River Valley,"The Karok (also spelled Karuk) are a Native American group indigenous to northwestern California, traditionally living along the Klamath River. They are one of the largest indigenous groups in California still active today.","[41.8, -123.4]",
Kassai (Congo),1,geographic,river_region,0.9,Kasai River,"Refers to the Kasai River region, a major tributary of the Congo River, flowing through Angola and DR Congo. The region around this river has historically been significant for local cultures and folklore.","[-4.3, 21.5]",
Kodiak,1,geographic,island,0.95,Kodiak Island,"Kodiak refers to a large island in the Gulf of Alaska, historically home to the Alutiiq people. The term appears in both geographic contexts and in folklore relating to the indigenous cultures of the region, particularly regarding Kodiak bears and maritime traditions.","[57.5359, -153.4097]",
Kyrgystan,1,geographic,country,0.99,Kyrgyzstan,"A Central Asian country (note the term appears to be a misspelling of 'Kyrgyzstan'), formerly part of the Soviet Union. Home to ethnic Kyrgyz people with rich nomadic traditions and folklore.","[41.2044, 74.7661]",
Lat Am. Africa (Cameroons),1,geographic,multi_region,0.9,Cameroon,"This appears to be a comparative reference linking folklore elements found in both Latin America and Africa, specifically Cameroon. The '(Cameroons)' specifies the African portion of the comparison. The term 'Cameroons' is an older colonial-era spelling for modern Cameroon.","[7.3697, 12.3547]",
Lat. Am. Africa (Angola),1,geographic,cross_continental,0.9,Angola,"This appears to be a reference indicating a cultural connection or comparative study between Latin America and Angola in Africa, with specific focus on Angola. The term suggests examination of shared cultural elements or historical connections between these regions, likely related to the transatlantic slave trade connections.","[-11.2027, 17.8739]",
Lat. Am. Africa (Basuto),1,geographic,mixed_regional,0.8,Lesotho,"This appears to be a compound reference combining Latin America and the Basuto people (now known as Basotho) of southern Africa, specifically Lesotho. The Basuto/Basotho are the primary ethnic group of Lesotho, formerly known as Basutoland.","[-29.61, 28.23]",
Lat. Am. Africa (Ekoi),1,ethnic_tribal,indigenous_group,0.9,Cross River State,"Ekoi (also known as Ejagham) refers to an ethnic group primarily located in southeastern Nigeria and western Cameroon. The term appears to be referenced in context of both Latin America and Africa, likely indicating a comparative folklore study between these regions, but Ekoi specifically refers to the African ethnic group.","[5.87, 8.58]",
Lat. Am. Indian (Carib),1,ethnic_tribal,indigenous_group,0.9,Caribbean Region,"Refers to the Carib indigenous people, who historically inhabited the Lesser Antilles and parts of northern South America. The Caribs were one of the dominant indigenous groups in the Caribbean region at the time of European contact. The term combines a broader geographic scope (Latin American) with specific reference to the Carib people.","[12.1, -61.6]",
Lat. Am. Indian (Cashinawa),1,ethnic_tribal,indigenous_group,0.9,Acre State,"The Cashinawa (also spelled Kaxinawá or Huni Kuin) are an indigenous people living in western Brazil and eastern Peru, primarily in the state of Acre, Brazil. They are part of the Pano linguistic family and maintain traditional practices and customs.","[-9.0, -70.0]",
Lat. Am. Indian (Chibcha),1,ethnic_tribal,indigenous_group,0.9,Colombia,"The Chibcha (also known as Muisca) were an indigenous people who primarily inhabited the central highlands of present-day Colombia before Spanish conquest. They were one of the most advanced civilizations in South America, known for their sophisticated social structure and gold work.","[4.6097, -74.0817]",
Lat. Am. Indian (Jibaro),1,ethnic_tribal,indigenous_group,0.9,Puerto Rico,The Jíbaro are indigenous people historically associated with Puerto Rico and parts of the Caribbean. The term later came to refer more broadly to Puerto Rican peasant farmers and rural dwellers. 'Lat. Am. Indian' indicates the broader Latin American indigenous context.,"[18.2208, -66.5901]",
Lat. Am. Indian (Peru),1,ethnic_tribal,indigenous_group,0.9,Peru,"Refers to indigenous peoples/tribes of Peru, which includes groups like Quechua, Aymara, and other native Amerindian populations of the Andean and Amazonian regions of Peru","[-9.19, -75.0152]",
Lat. Am. Indian (Zusi),1,ethnic_tribal,indigenous_group,0.6,Colombia,"Appears to refer to the Zusi/Zuxi, an indigenous group from Latin America. The '(Zusi)' specification suggests this refers to a specific tribal group rather than a general Latin American indigenous population. Limited information available about this specific group increases uncertainty.","[4.5709, -74.2973]",
Lat. Am. Irish myth,1,geographic,mixed_heritage,0.8,Latin America,"References Irish mythological stories or motifs as they appear in Latin American contexts, likely representing cultural fusion or Irish diaspora influences in Latin American folklore","[0, -80]","This is a compound reference combining two distinct cultural spheres (Irish and Latin American), making precise geographic placement difficult. The coordinates provided represent a general central point in Latin America."
Lat. Am. Philippines (Tinguian),1,ethnic_tribal,indigenous_group,0.9,"Abra Province, Philippines","The Tinguian (also known as Itneg) are an indigenous ethnic group primarily located in Abra Province in northern Luzon, Philippines. The reference appears to be miscategorized with 'Lat. Am.' (Latin America) as the Tinguian are definitively Filipino, not Latin American.","[17.5697, 120.9147]",
Lat. Am. Uganda,1,geographic,erroneous_combination,0.9,Uganda,This appears to be an erroneous or confusing combination of 'Latin America' and 'Uganda' which are geographically distinct regions. Uganda is in East Africa and not part of Latin America. This may be a cataloging error or misclassification.,"[1.3733, 32.2903]",
Latvia,1,geographic,country,1.0,Latvia,"A sovereign country in Northern Europe, one of the three Baltic states. Latvia has a distinct cultural heritage with rich folklore traditions, including dainas (folk songs), festivals, and mythology.","[56.8796, 24.6032]",
Lettish and Lithuanian,1,linguistic,baltic_languages,0.95,Latvia and Lithuania,"Refers to the two major Baltic languages and their speakers - Lettish (old term for Latvian) and Lithuanian, historically spoken in what are now Latvia and Lithuania respectively","[56.8, 24.6]",
Luzon (Tinguian),1,ethnic_tribal,indigenous_group,0.95,"Abra Province, Luzon",The Tinguian (also known as Itneg) are an indigenous ethnic group primarily located in Abra Province on Luzon island in the Philippines. The parenthetical format suggests this refers specifically to Tinguian folklore from the Luzon region.,"[17.5697, 120.9147]",
Macobi,1,ethnic_tribal,indigenous_group,0.7,Sonora,"The Macobi (also spelled Macobí) are an indigenous people traditionally located in northwestern Mexico, particularly in the state of Sonora. They are related to other indigenous groups of the region like the Yaqui and Mayo peoples.","[28.2, -110.9]",
Macobi (Pampean),1,ethnic_tribal,indigenous_group,0.8,Pampas Region,"The Macobi appear to be an indigenous group associated with the Pampas region of South America, particularly Argentina. The '(Pampean)' qualifier explicitly connects them to the Pampas grasslands cultural area.","[-36.0, -64.0]",
Madagascar (Marofotsy),1,ethnic_tribal,indigenous_group,0.8,Central Madagascar,"Marofotsy refers to a subgroup or clan in Madagascar, likely in the central highlands region. The term appears to be a specific ethnic/tribal designation within Malagasy society, though detailed information about this specific group is limited.","[-19.0, 47.0]",
Madagascar (Merina),1,ethnic_tribal,indigenous_group,0.95,Antananarivo Highlands,"The Merina are the largest ethnic group in Madagascar, historically centered in the central highlands around Antananarivo. They were the dominant political group that established the Kingdom of Madagascar in the 19th century.","[-18.9, 47.5]",
Madagascar (Tsimihety),1,ethnic_tribal,indigenous_group,0.9,Northern Madagascar,"The Tsimihety are an ethnic group of Madagascar, primarily living in the northern regions of the island. Their name means 'those who do not cut their hair' in Malagasy. They are known for historically rejecting hierarchical authority and maintaining independence from colonial rule.","[-14.5, 48.5]",
Magyar,1,ethnic_tribal,ethnic_group,0.95,Hungary,"Magyar refers to the ethnic Hungarians and their language, the dominant ethnic group of Hungary. The term has been used since medieval times when Magyar tribes settled in the Carpathian Basin around 895 CE. Modern Hungarians still refer to themselves as 'Magyars' in their own language.","[47.162494, 19.503304]",
Maidu,1,ethnic_tribal,indigenous_group,0.95,Sacramento Valley,"The Maidu are a Native American ethnic group indigenous to northern California, traditionally living in the Sacramento Valley and Sierra Nevada foothills. They consist of several related groups including Mountain Maidu, Konkow, and Nisenan peoples.","[39.7, -121.8]",
Masai,1,ethnic_tribal,indigenous_group,0.95,Maasai Mara,"The Maasai (also spelled Masai) are a Nilotic ethnic group inhabiting parts of Kenya and Tanzania. They are well-known pastoralists with distinctive cultural practices, traditional dress, and customs. Their traditional homeland spans the Great Rift Valley region.","[-1.5, 35.2]",
Mauritian,1,geographic,country,0.95,Mauritius,"Refers to people, culture, or things from Mauritius, an island nation in the Indian Ocean east of Madagascar","[-20.2, 57.5]",
Miwok,1,ethnic_tribal,indigenous_group,0.95,Central California,"Miwok refers to a Native American ethnic group indigenous to Northern and Central California, traditionally living in the Sierra Nevada foothills, Sacramento Valley, and San Francisco Bay Area. They consist of several culturally similar but separate groups speaking related languages.","[38.2, -120.7]",
Mohammedan,1,religious,islamic,0.95,Mecca,"An outdated and now often considered pejorative term for Muslim/Islamic people, derived from the prophet Muhammad. The term suggests followers worship Muhammad rather than Allah, which is considered inaccurate by Muslims. The term was commonly used in Western literature and folklore collections from the 18th-20th centuries.","[21.4225, 39.8262]",
"Mongolia, Turkey",1,geographic,countries,1.0,Mongolia and Turkey,This appears to be a compound geographic reference linking two distinct countries/regions - Mongolia in East Asia and Turkey in Western Asia/Southeastern Europe. Both regions have historically significant nomadic and Turkic cultural connections.,"[43.5, 102.9]",
Montaignais,1,ethnic_tribal,indigenous_group,0.95,Quebec,"Montagnais (also known as Innu) are an indigenous First Nations people inhabiting eastern Quebec and southern Labrador in Canada. Their traditional territory is called Nitassinan. The term 'Montagnais' was given by French settlers, meaning 'mountain people'.","[51.0, -65.0]",
Munderuc',1,ethnic_tribal,indigenous_group,0.85,"Amazonas State, Brazil","The Munduruku (also spelled Munderucú) are an indigenous people of Brazil, traditionally living in the Tapajós River valley in the Amazon region. They are known for their warrior culture and historical resistance against Portuguese colonization.","[-4.5, -56.5]",
Muzo (Colombia),1,ethnic_tribal,indigenous_group,0.9,Boyacá Department,The Muzo were an indigenous people who inhabited the western region of Boyacá Department in Colombia. They were particularly known for controlling the famous emerald-rich territories and fiercely resisting Spanish conquest in the 16th century.,"[5.5333, -74.1]",
N. Am. Africa (Benga),1,ethnic_tribal,indigenous_group,0.8,Gabon,"Benga refers to an ethnic group primarily located along the coast of Gabon in Central Africa. The 'N. Am.' prefix appears to indicate this is about African folklore collected or studied in North America, rather than suggesting a North American location for the Benga people themselves.","[-0.803689, 9.4721219]",
N. Am. Negro (Georgia),1,ethnic_tribal,african_american,0.9,Georgia,"Refers to African American folklore and cultural traditions specifically from the U.S. state of Georgia, likely collected during the late 19th/early 20th century. The term 'Negro' is a historical designation now considered outdated.","[32.1656, -82.9001]",
N. Carolina,1,geographic,us_state,1.0,North Carolina,"Abbreviation for North Carolina, a state in the southeastern United States, known for its diverse geography from the Appalachian Mountains to the Atlantic coast","[35.5, -80.0]",
N. Indian (Cashinawa),1,ethnic_tribal,indigenous_group,0.9,Acre State,"The Cashinawa (also spelled Kaxinawá or Cashinahua) are an indigenous people living in the Brazil-Peru border region, primarily in Acre State, Brazil and adjacent parts of Peru. The 'N. Indian' likely refers to their location in northern South America/Amazon region.","[-9.1, -70.5]",
N. Pac. Indian (Toba),1,ethnic_tribal,indigenous_group,0.7,Gran Chaco,"This appears to be a confusing or incorrect folklorist notation. 'Toba' typically refers to the Toba/Qom people of the Gran Chaco region in South America (Argentina/Paraguay), not the North Pacific. The '(N. Pac. Indian)' designation appears to be an error or confusion with a different group.","[-23.5, -61.0]",
Nauru (Pleasant Island),1,geographic,country,0.99,Nauru,Nauru is a small island country in Micronesia. It was formerly known as Pleasant Island by European sailors who visited in the 1830s before being officially named Nauru. It is the world's smallest island nation.,"[-0.5277, 166.9348]",
Nebraska,1,geographic,us_state,1.0,Nebraska,"A state in the central United States, part of the Great Plains region. Historically home to various Native American tribes including the Omaha, Pawnee, and Lakota before becoming a U.S. territory and state in 1867.","[41.5, -99.75]",
New Mexico,1,geographic,us_state,1.0,New Mexico,"U.S. state in the southwestern United States, formerly part of Mexico's territory before 1848. Known for its distinctive blend of Native American, Hispanic and Anglo cultural influences.","[34.5199, -105.8701]",
Nias Island,1,geographic,island,0.95,Nias,"Nias is a large island off the western coast of Sumatra, Indonesia. It has a distinct indigenous culture and is known for its traditional megalithic architecture and unique surfing conditions. The Nias people have their own language and cultural traditions.","[1.0833, 97.7167]",
No. Am. Indian (Amazon),1,unknown,unclear_reference,0.3,,"This appears to be a problematic or erroneous reference combining 'North American Indian' with 'Amazon' which are geographically incompatible regions. The Amazon is in South America, not North America, making this reference internally contradictory and difficult to accurately categorize.",,
No. Am. Indian (Apache),1,ethnic_tribal,indigenous_group,0.95,Arizona-New Mexico border region,"Apache refers to several culturally related Native American tribes that historically inhabited the Southwestern United States, particularly in Arizona, New Mexico, Texas and parts of Mexico. The parenthetical specification of 'Apache' after 'No. Am. Indian' indicates a specific focus on Apache peoples rather than other Native American groups.","[33.8, -109.2]",
No. Am. Indian (Assiniboin),1,ethnic_tribal,indigenous_group,0.95,Southern Saskatchewan,"The Assiniboine (also called Assiniboin or Hohe) are a First Nations/Native American people originally from the Northern Great Plains of North America, traditionally living in present-day Saskatchewan and Manitoba in Canada and Montana and North Dakota in the US","[50.4, -105.5]",
No. Am. Indian (Assiniboine),1,ethnic_tribal,indigenous_group,0.95,Saskatchewan,"The Assiniboine are an indigenous First Nations/Native American people traditionally inhabiting parts of the Northern Plains, particularly in present-day Saskatchewan and Manitoba, Canada, and Montana, USA. Their traditional name is Nakota/Nakoda.","[52.9399, -106.4509]",
No. Am. Indian (Atsina),1,ethnic_tribal,indigenous_group,0.9,Montana,The Atsina (also known as Gros Ventre) are a Native American tribe historically located in north-central Montana. They are an Algonquian-speaking people closely related to the Arapaho.,"[48.0, -109.0]",
No. Am. Indian (Bella-Bella),1,ethnic_tribal,indigenous_group,0.95,"Bella Bella, British Columbia","Refers to the Heiltsuk (formerly known as Bella Bella) First Nations people of the central coast of British Columbia, Canada. They are an indigenous group traditionally located around the community now called Bella Bella (Waglisla).","[52.163, -128.1445]",
No. Am. Indian (Carrier),1,ethnic_tribal,indigenous_group,0.95,British Columbia,"The Carrier (Dakelh) people are a First Nations indigenous group traditionally located in the central interior of British Columbia, Canada. The name 'Carrier' was given by European traders, though they call themselves Dakelh ('travelers on water').","[54.0, -124.0]",
No. Am. Indian (Catawba),1,ethnic_tribal,indigenous_group,0.95,South Carolina,"The Catawba are a federally recognized Native American tribe historically located in the Carolinas, primarily South Carolina. They were known as the Catawba Indian Nation and inhabited the Catawba River valley area.","[34.9, -80.9]",
No. Am. Indian (Chickasaw),1,ethnic_tribal,indigenous_group,0.95,Chickasaw Nation,"The Chickasaw are a Native American tribe historically located in the southeastern United States, particularly in present-day Mississippi, Alabama, and Tennessee. They were later forcibly relocated to Indian Territory (now Oklahoma) where the Chickasaw Nation remains today.","[34.5, -97.0]",
No. Am. Indian (Chilcotin),1,ethnic_tribal,indigenous_group,0.9,Chilcotin Plateau,"The Chilcotin (Tsilhqot'in) are a First Nations people indigenous to the Chilcotin Plateau region of British Columbia, Canada. They speak an Athabaskan language and traditionally occupied the area west of the Fraser River.","[52.0, -123.0]",
No. Am. Indian (Chippewyan),1,ethnic_tribal,indigenous_group,0.9,Northern Saskatchewan,"The Chipewyan (also Denesuline) are a Dene First Nations people of Canada, traditionally inhabiting parts of Saskatchewan, Manitoba, Alberta, and Northwest Territories. They are one of the major groups of the Northern Athabascan peoples.","[59.0, -106.0]",
No. Am. Indian (Chiriguano),1,ethnic_tribal,indigenous_group,0.9,Gran Chaco,The Chiriguano (also known as Guaraní-Chiriguano or Ava Guaraní) are an indigenous people primarily located in southeastern Bolivia and northern Argentina in the Gran Chaco region. Note that 'No. Am. Indian' appears to be a misclassification as they are South American.,"[-20.5, -63.5]",
No. Am. Indian (Chuckchee),1,ethnic_tribal,indigenous_group,0.7,Chukotka,"This appears to be an incorrect classification - the Chukchi (also spelled Chukchee) are actually indigenous people of northeastern Siberia (Russia), not North America. They are traditionally reindeer herders and maritime hunters living on the Chukchi Peninsula.","[66.0, 171.0]",
No. Am. Indian (Cree),1,ethnic_tribal,indigenous_group,0.95,Saskatchewan,"The Cree are one of the largest groups of First Nations (indigenous peoples) in North America, traditionally occupying parts of present-day Canada from Alberta to Quebec, with major populations in Saskatchewan and Manitoba. 'No. Am. Indian' is an older term for indigenous peoples of North America.","[54.0, -106.0]",
No. Am. Indian (Dakota),1,ethnic_tribal,indigenous_group,0.95,South Dakota,"Refers to the Dakota (also known as Sioux) Native American people, historically located in the northern Great Plains region, particularly in present-day North and South Dakota. 'No. Am. Indian' is a dated term for Native American/First Nations peoples.","[44.3, -100.3]",
No. Am. Indian (Diegueso),1,ethnic_tribal,indigenous_group,0.95,San Diego County,The Diegueño (now known as Kumeyaay) are a Native American group indigenous to present-day southern California and northern Baja California. The name 'Diegueño' derives from their association with the Mission San Diego de Alcalá. 'No. Am. Indian' is a dated term for Native American/First Nations peoples.,"[32.8, -116.9]",
