rownum	motif_id	motif_text_with_references
38978	P312.0.1	Saint makes blood covenant with animals. Linked to Ireland
38979	P312.1	Drinking mixture of blood, milk, and wine as pledge of covenant. Linked to Ireland
38980	P312.2	Sworn brethren and blood brethren avenge each other. Linked to Iceland
38981	P312.3	Surviving blood brother to watch three nights in grave-mound. Linked to Iceland
38982	P313	Milk-brotherhood. Friends bound in brotherhood through partaking of milk from the same woman.
38983	P313.1	Friendship starts at babyhood: two babies exchanged. Referenced in Jewish religious texts
38984	P314	Combat of disguised friends.
38985	P315	Friends offer to die for each other. (B'rgschaft.) Each falsely confesses crime so as to save the other. Neither guilty. Linked to Spanish Exempla, In languages spoken in Spanish, Linked to Italy
38986	P315.1	Competition in friendship: prisoner and jailor. Officer in charge of prison offers to let his friend escape, though his own life will be forfeited. The friend refuses; tells officer to let king think he has escaped and if the king demands his life the officer can produce the prisoner. King hears of the generosity and forgives the prisoner.
38987	P315.2	Friend gives false witness to set free his accused friend. Associated with the tribe Africa (Wakweli)
38988	P316	Friend sacrifices his life for the other. Referenced in Buddhist religious texts
38989	P316.1	Man knowing of murder plot against his friend disguises and is killed in his place. In languages spoken in Spanish, Linked to Spanish Exempla
38990	P317	Refusal to believe that a friend has spoken ill of one. In languages spoken in Spanish, Linked to Spanish Exempla
38991	P317.1	Refusal to believe that a friend will harm one. Alexander drinks cup said to have been poisoned by his friend. In languages spoken in Spanish, Linked to Spanish Exempla
38992	P318	Man refuses to follow friend in wicked conduct. Linked to Italy
38993	P319	Deeds of friendship miscellaneous.
38994	P319.1	Two friends captured by Moors have money to ransom only one. The ransomed one returns home, gets money and buys the other's freedom. Linked to Italy
38995	P319.2	Man who has counseled friend in assassination asks to be killed on the other's body. Linked to Italy
38996	P319.3	Friend's intercession saves man from execution. Linked to Italy
38997	P319.4	The sacred partnership. Man is abducted by pirates and kept in slavery forty years. Upon his return his friend divides his earnings with him. Linked to Italy
38998	P319.5	Hands of friends extend through sides of tombs and clasp in death. Linked to Ireland
38999	P319.6	Successful rival gives his lady to unsuccessful friend. Linked to Italy
39000	P319.7	"""Friendship without refusal."". Friends bind themselves each to grant every desire of the other." Linked to Ireland
39001	P319.8	Danger of one saint voluntarily incurred by another. Linked to Ireland
39002	P32	Friendship of prince and commoner. Linked to India
39003	P32.1	All children born in realm on same day as chief's son are brought to palace to be the boy's companions. Found in Hawaii
39004	P320	Hospitality. Relation of host and guest. Linked to Ireland
39005	P320.1	Hospitality for a whole winter. Linked to Iceland
39006	P320.2	Hospitality for (three) years. Linked to Ireland
39007	P321	Salt of hospitality. Eating a man's salt creates mutual obligation.
39008	P322	Guest given refuge. Murderer of a man's father takes refuge in his house and is saved by him.
39009	P322.1	Nobleman forces escaping prisoner to accept his hospitality. Intercedes for his pardon. Linked to Italy
39010	P322.2	Guest in disguise or under false name.
39011	P322.3	Refugee entertained in holy place (church, monastery, etc.). Linked to Ireland
39012	P323	Hosts refrain from telling guest of death in household. Linked to Greece
39013	P324	Host greets guest with gifts. Linked to Iceland, Found in England
39014	P324.1	Host treats guest with food and everything possible. Linked to Iceland
39015	P324.2	Guests fed before being questioned. Linked to Greece
39016	P324.3	Guests' life inviolable. Linked to Greece
39017	P325	Host surrenders his wife to his guest. The guest unwittingly falls in love with the wife. The host, on being informed, out of pure generosity repudiates the wife and has her marry the guest. In languages spoken in Spanish, Linked to Spanish Exempla
39018	P325.1	Guest begets son with his host's daughter. Linked to Iceland
39019	P326	If host does not return, the house shall belong to the guest. So declares the host as he departs on a mission for the guest. Linked to Japan
39020	P327	Barmecide feast. Host places imaginary feast before guest, who accepts it in the same spirit. Guest's courtesy is rewarded by real feast. In languages spoken in Arabian, In languages spoken in Arab
39021	P328	Strangers entertained by family to whose hitching-ring they happen to tie their horses. Thus confusion avoided as to where strangers are to be entertained. Linked to Italy
39022	P331	Refusal to receive preferred help until series of stories has been told. Found in Scotland
39023	P332	Selfish guest expels host. Porcupine asks rabbit for hospitality. When rabbit complains of being pricked, porcupine tells him to leave if he does not like it. Linked to Italy
39024	P334	Shabby hospitality forces guests to leave. Linked to Italy
39025	P334.1	Guests accused of greediness. Linked to India
39026	P336	Poor person makes great effort to entertain guests.
39027	P336.1	Poor host and his wife kill themselves because they are unable to entertain expected guests. Linked to India
39028	P336.2	Wife scolds husband's hospitality, as he really has nothing to give. Linked to Iceland
39029	P336.3	Poor peasant closes the eyes in order not to see guest eat: later suicide. Linked to Iceland
39030	P337	King demands work, sport or entertainment from winter guests. Linked to Iceland
39031	P337.1	Christian king makes baptism a condition for hospitality during the winter. Linked to Iceland
39032	P338	Sitting in a circle of feasts. Linked to Ireland
39033	P34	Prince imprisoned as hostage for safety from king. Linked to Ireland
39034	P340	Teacher and pupil. Linked to Ireland
39035	P340.0.1	Druids as teachers. Linked to Ireland
39036	P341	Teacher dies of pride over success of pupil.
39037	P342	Student enters competition with his master. Linked to Italy
39038	P342.1	Student challenges his fencing master. Is overcome by the latter's tricks. Linked to Italy
39039	P343	Teacher threatens to curse pupils if they disobey. Linked to Ireland
39040	P35	Unknown prince chosen chief of children in play.
39041	P36	Dispossessed prince taunted by usurper's son. From the region of West Africa, On the continent of Africa
39042	P360	Master and servant.
39043	P361	Faithful servant. In languages spoken in Spanish, Linked to Spanish Exempla, Linked to Iceland, Linked to India, Referenced in Jewish religious texts, Spanning multiple countries: Korea
39044	P361.1	Faithful servant dies for his master. Puts on his master's clothes so as to be slain in his place. Linked to Japan
39045	P361.1.1	Faithful servant kills his master's murderer and is killed in turn. Linked to Italy
39046	P361.1.2	Faithful servant wants to follow on dangerous quest, where he alone is killed. Linked to Iceland
39047	P361.1.3	Hero's charioteer faithful to master till death. Linked to Ireland
39048	P361.2	Faithful servant remains at home and fights for exiled hero.
39049	P361.3	Faithful servant sacrifices sons to save life of king. Sons resuscitated and servant enriched. Linked to India
39050	P361.4	Faithful nurse tries to save tyrant's daughter by exposing her own in her place. Linked to Italy
39051	P361.5	Abandoned maiden helped by her faithful nurse. Linked to India
39052	P361.6	Faithful servant dies avenging master's death. Linked to Ireland
39053	P361.7	Captain will not betray king's secret. He refuses to betray where recruits are being raised. In languages spoken in Spanish
39054	P361.8	Faithful servant undergoes torture for sake of his master. Linked to Spanish Exempla, In languages spoken in Spanish
39055	P361.9	Crow lets itself be caught so as to save king of crows. Linked to India
39056	P362	Faithful servant entrusted with care and education of crown prince. Linked to India
39057	P365	Faithless servant. Linked to Italy
39058	P365.1	Faithless men-servants corrupt the maids in the household. Linked to Italy
39059	P365.2	Servant planning to possess his master's goods. Has already possessed his wife.
39060	P366	Master demands that servant tell him of his faults as well as of his good qualities.
39061	P37	Birth rites confer royalty on infant prince. Located in Easter Island
39062	P38	Prince forfeits father's and God's blessing if he fails to claim throne. Found in England
39063	P40	Princesses.
39064	P400	Trades and professions. Referenced in Jewish religious texts
39065	P401	Son insists on following father's trade. This has been kept secret at request of dying father who was unsuccessful. Son learns from mother.
39066	P41	Princess cannot be married to someone of low caste, though he passes suitor test. Linked to India
39067	P41.1	Great warrior destroyed by king when he asks for princess in marriage. Linked to India
39068	P410	Laborers.
39069	P411	Peasant.
39070	P411.1	Peasant refuses to sell possessions to king. (Miller of Sanssouci.) Linked to Switzerland
39071	P411.1.1	Peasant and his wife in hut near castle as contrasts to king and queen. Linked to Iceland
39072	P411.2	Peasant is cutting wood in front of his house as guests arrive. Linked to Iceland
39073	P411.3	Wounded hero finds shelter and is cured in peasant's house. Linked to Iceland
39074	P411.4	Hero stays overnight in peasant's house, to which he accidentally comes, and where he gets advice and direction. Linked to Iceland
39075	P412	Shepherd.
39076	P412.1	Shepherd as hero.
39077	P412.1.1	Life of shepherd proper preparation for ruler. Referenced in Jewish religious texts
39078	P412.2	Swineherd. Linked to Ireland
39079	P412.3	Hero as rabbit-herd.
39080	P413	Ferryman.
39081	P413.1	Eternal ferryman. Always transports passengers and when the ruler is in danger takes his place.
39082	P413.1.1	Ferryman puts oar into king's hand and he must remain ferryman. Linked to Japan
39083	P414	Hunter.
39084	P415	Collier.
39085	P415.1	Hero as collier. Linked to Iceland
39086	P420	Learned professions.
39087	P421	Judge. Linked to Iceland, Linked to Ireland
39088	P421.1	Jackals as judges. Linked to India
39089	P422	Lawyer.
39090	P422.1	Lawyers punished in hell.
39091	P422.1.1	Tongue of dead lawyer found to be lacking.
39092	P424	Physician. Linked to Ireland
39093	P424.1	Physician hides eyes as he passes graveyard. He does not want to see those who have died from his medicine.
39094	P424.2	Doctor who can cure can also poison. This reflection brings the doctor under the king's suspicion.
39095	P424.3	Physician killed for fatal diagnosis. Linked to Ireland
39096	P424.3.1	"""Skillful"" physician compelled to help carry away the bier of his dead patient." Linked to India
39097	P424.4	Fairy as physician. Linked to Ireland
39098	P424.5	Female physician. Linked to Ireland
39099	P425	Scribe.
39100	P425.1	Scribe who cannot read his own writing. Linked to India
39101	P426	Clergy.
39102	P426.0.1	In fear of clerics pagans flee into fairy mounds. Linked to Ireland
39103	P426.1	Parson (priest). Referenced in Jewish religious texts
39104	P426.1.1	First of animals and fruits belong to priest. Referenced in Jewish religious texts
39105	P426.2	Hermit. Linked to Ireland, In languages spoken in Spanish
39106	P426.3	Monks. Linked to Ireland
39107	P426.3.1	Untrained monk becomes skillful wright (smith) through power of saint. Linked to Ireland
39108	P426.3.2	Monks as converted druids. Linked to Ireland
39109	P426.3.3	Woman disguised as monk enters monastery. Linked to Ireland
39110	P427	Druid (poet, learned man). Linked to Iceland, Linked to Ireland
39111	P427.0.1	Druid inspires great respect and fear. Linked to Ireland
39112	P427.0.2	Person assailed by druid loses treasure. Linked to Ireland
39113	P427.0.3	Women druids. Linked to Ireland
39114	P427.0.4	Simon Magus as druid. Linked to Ireland
39115	P427.1	Druid performs sacrifices. Linked to Ireland
39116	P427.1.1	Druids perform human sacrifice. Linked to Ireland
39117	P427.1.2	Druids as priests. Linked to Ireland
39118	P427.1.3	Druidic (heathen) baptism. Linked to Ireland
39119	P427.1.4	Druidic tonsure. Linked to Ireland
39120	P427.2	Druid as emissary of peace. Linked to Ireland
39121	P427.3	Advice (instruction) from druid. Linked to Ireland
39122	P427.4	Poet (druid) as satirist. Linked to Ireland
39123	P427.4.1	Fear of druidic lampoon as activating power. Linked to Ireland
39124	P427.5	Druid as physician. Linked to Ireland
39125	P427.5.1	Wounded soldiers healed by bath in pool of milk through power of druid. Linked to Ireland
39126	P427.6	Druid as judge. Linked to Ireland
39127	P427.7	Poet. Linked to Ireland, Linked to Iceland
39128	P427.7.1	Extemporaneous composition by poets. Linked to Ireland
39129	P427.7.10	Rivaling poets. Linked to Iceland
39130	P427.7.2	Extensive repertory of poets. Linked to Ireland
39131	P427.7.2.1	Difficult language used by poets. Linked to Ireland
39132	P427.7.2.1.1	Poets and fools closely allied. Linked to Ireland
39133	P427.7.3	Blind poets. Linked to Ireland
39134	P427.7.4	Women poets. Linked to Ireland
39135	P427.7.5	Bard. Linked to Ireland
39136	P427.7.6	Poet's rod. Linked to Ireland
39137	P427.7.7	Poet as judge. Linked to Ireland
39138	P427.7.8	Poet rewarded for poem. Linked to Iceland, Linked to Ireland
39139	P427.7.9	Poets banished. Linked to Ireland
39140	P427.7.9.1	Excessive demands of poets. Linked to Ireland
39141	P427.8	Druids as rath-builders. Linked to Ireland
39142	P427.9	Druids (poets) boil spell. Linked to Ireland
39143	P428	Musician. Linked to Iceland
39144	P428.1	Harper. Linked to Ireland, Referenced in Jewish religious texts
39145	P429	Miscellaneous learned professions.
39146	P429.1	Astronomers. Referenced in Jewish religious texts
39147	P430	Financiers and merchants.
39148	P431	Merchant. Referenced in Jewish religious texts
39149	P431.1	Merchants as spreaders of news.
39150	P435	Usurer.
39151	P435.1	Wealthy usurer prays that the sons of the rich will become mad. That will benefit his business. His own sons lose their minds. Linked to Italy
39152	P435.2	Usurer stops lending money. He does so, not because it is wrong, but because he is losing money. Linked to Italy
39153	P440	Artisans. Referenced in Jewish religious texts
39154	P441	Tailor. Linked to France, From the region of Missouri French
39155	P441.1	Tailor occupies God's throne for a day.
39156	P441.2	Tailoring only trade devil cannot learn. He fails to knot thread because it would make sign of the cross. Found in Scotland
39157	P441.3	Tailor punished in hell. Linked to Ireland
39158	P441.4	Busy tailor asks soldier to mount watch in his place. Linked to France, From the region of Missouri French
39159	P442	Baker.
39160	P442.1	Baker and devil walking together. Found in Brittany
39161	P443	Miller. Linked to France, From the region of Missouri French, In languages spoken in Spanish
39162	P443.0.1	Water-miller. Linked to Iceland
39163	P443.1	Why millers are thieves. In languages spoken in Flemish
39164	P444	Cabinet-maker.
39165	P444.1	Brave soldier and timid cabinet-maker as companions. Linked to Germany
39166	P445	Weaver.
39167	P445.1	Why weavers are the most unhappy of men. They gave a nail for the Crucifixion. In languages spoken in Flemish
39168	P445.2	Why weavers have patience. In languages spoken in Flemish
39169	P446	Barber.
39170	P446.1	Barbers as bunglers of plans.
39171	P446.2	Barbers cunning and greedy. Linked to India
39172	P447	Smith. Linked to Ireland, Linked to Iceland, Referenced in Jewish religious texts, From the region of Missouri French, Linked to France
39173	P447.0.1	Smith from Lochlann  (Scandinavia, otherworld [?]) Linked to Ireland
39174	P447.1	Smith as grandfather of king. Linked to Ireland
39175	P447.2	Smith as rath-builder. Linked to Ireland
39176	P447.3	Smith as lord of hall of hospitality. Linked to Ireland
39177	P447.4	Smith punished in hell. Linked to Ireland
39178	P447.5	Smith honored by king as indispensable. Invited to festival. Found in England
39179	P447.6	Rivaling smiths. Linked to Iceland
39180	P447.7	Goldsmith as lover. Linked to Iceland
39181	P447.8	Covetous goldsmith. Linked to India
39182	P448	Butcher.
39183	P451	Spinner.
39184	P452	Dressmaker (milliner, etc.).
39185	P453	Shoemaker. Linked to Ireland, In languages spoken in Spanish
39186	P453.1	"Why shoemakers are indolent. A shoemaker spits at Christ on way to be crucified. Christ tells him, ""A poor slobbering fellow thou shalt be, and all shoemakers after thee, for what thou has done to me."""
39187	P454	Hatter.
39188	P455	Mason (bricklayer).
39189	P456	Carpenter.
39190	P457	House-painter.
39191	P458	Woodsman. From the region of Missouri French, Linked to France
39192	P459	Other artisans.
39193	P459.1	Printer.
39194	P460	Other trades and professions.
39195	P461	Soldier. Linked to France, From the region of Missouri French
39196	P461.1	Soldier who has had both hands severed fights with his teeth until he is killed. Linked to Italy
39197	P461.2	Soldier dies happy on learning of enemy's rout. Linked to Italy
39198	P461.3	Soldier is ordered to set fire to enemy's armada. Is caught and sawed in two. Linked to Italy
39199	P461.4	Woman instructs in art of arms. Linked to Ireland
39200	P471	Actor.
39201	P471.1	Actors banished along with vagabonds.
39202	P475	Robber. Linked to Ireland, Linked to France, From the region of Missouri French, Referenced in Jewish religious texts
39203	P475.1	Twelve robbers.
39204	P475.2	Robbers defeated and killed. Linked to Iceland
39205	P481	Astrologer. Referenced in Jewish religious texts, Linked to India
39206	P482	Painter (artist).
39207	P482.1	Devil pulls painter from chair.
39208	P483	Juggler (conjurer). Linked to Ireland
39209	P485	Philosopher.
39210	P485.1	Treacherous philosophers. Linked to India
39211	P50	Noblemen (knights).
39212	P50.0.1	King and vassals: obligations of vassals to king. Linked to Ireland
39213	P50.0.1.1	King demands open gate to vassals' castle (city). Linked to Ireland
39214	P50.1	Earl. Linked to Iceland
39215	P50.1.1	Earl's name preferred to king's.  Icelandic: Boberg.
39216	P50.2	Marshall.
39217	P500	Government.
39218	P51	Noble person saves self from difficulties by knowledge of a trade.
39219	P510	Law courts. Linked to Ireland
39220	P511	Criminal allowed to choose his method of execution.
39221	P511.1	Chooses to die of old age. Criminal given choice of deaths.
39222	P511.2	Man condemned to lose his eye is allowed to choose the instrument. In languages spoken in Spanish, Linked to Spanish Exempla
39223	P512	Condemned woman may be freed by marrying a rogue.
39224	P512.1	Release from execution at a woman's request (by marriage to her).
39225	P513	Criminal may fight against odds rather than be judicially executed.
39226	P515	Pardoning of criminal comes too late. Linked to Iceland
39227	P516	Youngest of judges first to give decision. Referenced in Jewish religious texts
39228	P517	Crime less serious if committed at request of a lady. Found in England
39229	P518	Cities of refuge. Referenced in Jewish religious texts
39230	P52	Knight jousts with all comers. Found in England
39231	P52.1	Knight's duty to perform as lady bids. Found in England
39232	P521	"Complacent judge disregards the confession. He has put the criminal to torture without success. When he releases him, the criminal says, ""In a moment I should have confessed all."" The judge lets him go nevertheless."
39233	P522	Laws.
39234	P522.1	Lex talionis. One life for one life. Equal number must be given up by each feuding side. Linked to Ireland, Located in New Guinea, Linked to India
39235	P522.1.1	A nose for a nose. Linked to India
39236	P523	Bringing suit in law courts. Linked to Ireland
39237	P523.1	Foreigner may not bring suit. Linked to Ireland
39238	P523.2	Madman may not bring suit. Linked to Ireland
39239	P523.2.1	Fool not to be punished for his crime. Linked to Ireland
39240	P523.3	Slave may not bring suit. Linked to Ireland
39241	P524	Legal security. Linked to Ireland
39242	P524.1	Poet may not act as security. Linked to Ireland
39243	P524.2	Foreigner may not act as security. Linked to Ireland
39244	P525	Contracts. Linked to Ireland
39245	P525.0.1	"""It is a debt if it is promised.""" Linked to Ireland
39246	P525.1	Contract made by madman void. Linked to Ireland
39247	P525.2	Contract made by woman without her husband void. Linked to Ireland
39248	P525.3	He nearest to blood of slain man must avenge his death. Linked to Ireland
39249	P526	Legal principles.
39250	P526.1	"""To every cow belongs its calf,""  a legal principle applied to question of ownership of copy of manuscript." Linked to Ireland
39251	P526.2	"""To every son belongs his mother"" : in case of suspected illegitimacy, child is not guilty." Linked to Ireland
39252	P531	Taxation and payment of fines or tribute. Linked to Ireland
39253	P531.1	Tribe failing to attend yearly feast to send gift as sign of submission. Linked to Ireland
39254	P531.1.1	Tribute required of conquered foreigners. Linked to Ireland
39255	P531.2	Tax on treasure trove. Linked to Ireland
39256	P532	Payment of tax (tribute). Linked to Ireland
39257	P533	Feudal tribute. Specified interchange of aid and gifts. Linked to Ireland
39258	P533.1	Hostages. Linked to Ireland
39259	P533.1.1	Boys as hostages. Linked to Ireland
39260	P535	Eric fines (imposed for personal injury, etc.). Linked to Ireland
39261	P536	Punishment for failure to pay tax. Linked to Ireland
39262	P536.1	Nose cut off for failure to pay tax. Linked to Ireland
39263	P537	Payment of stipend. Linked to Ireland
39264	P541	Law-making. Linked to Ireland
39265	P541.1	Heptads. Laws made in groups of seven. Linked to Ireland
39266	P541.2	Laws made at yearly feast. Linked to Ireland
39267	P541.2.1	Laws made at feast every seven years. Linked to Ireland
39268	P548	Miscellaneous legal customs. Linked to Ireland
39269	P55	Wild man of noble birth. Linked to Ireland
39270	P550	Military affairs. Referenced in Jewish religious texts
39271	P551	Army.
39272	P551.0.1	Band of professional warriors. Linked to Ireland, Linked to Iceland
39273	P551.1	Army of young men. Old men excluded.
39274	P551.2	Soldiers chained (tied) together to prevent flight from battle. Linked to Ireland
39275	P551.3	Clerics exempted from military service. Linked to Ireland
39276	P551.4	Hero drives retreating warriors back into battle. Linked to Ireland
39277	P551.5	Boy corps. Linked to Ireland
39278	P551.6	Law requiring military service of women revoked through influence of saint. Linked to Ireland
39279	P551.7	Conflicts with the recruiting officers. Linked to Lithuania
39280	P551.8	Retainers not required to go to battle under overlord except for pay. Linked to Ireland
39281	P551.8.1	Only 700 subjects of under-king required to serve under overlord on any one hosting. Linked to Ireland
39282	P551.9	"""Battle seeds"" (semen bellicosum)." Linked to Ireland
39283	P552	Battle formations. Linked to Ireland
39284	P552.1	Battle-pen. Warriors fight in circle around leader. Linked to Ireland
39285	P552.2	Superior troops distributed throughout army to prevent their soldierly qualities from being too obvious. Linked to Ireland
39286	P552.3	Phalanx. Linked to Ireland
39287	P552.3.1	Roof of shields. Testudo. Linked to Ireland
39288	P552.4	War-machines. Linked to Ireland
39289	P552.5	Haircut as preparation for war. Linked to Maori
39290	P553	Weapons. Linked to Ireland, Referenced in Jewish religious texts
39291	P553.1	Poisoned weapons. Linked to Ireland
39292	P554	Battle-cairn. Losses reckoned by number of stones remaining in pile after each survivor has removed one. Linked to Ireland
39293	P555	Defeat in battle. Referenced in Jewish religious texts, Linked to Ireland
39294	P555.1	Submission indicated by defeated lying with conqueror's sword between teeth. Linked to Ireland
39295	P555.2	Corpses of dead foes dismembered.
39296	P555.2.1	Heads of fallen enemies piled up after battle. Linked to Ireland
39297	P555.2.1.1	"""Publication of slaying."". Heads of slain enemies displayed." Linked to Iceland, Linked to Ireland
39298	P555.2.1.2	Jawbone cut from slain opponent. Found in Hawaii
39299	P555.3	Gate of captured town (castle) to be widened until overlord's spear can pass through crosswise. Linked to Ireland
39300	P556	Challenge to battle. Linked to Ireland, Referenced in Jewish religious texts
39301	P556.1	Challenge by turning left side of shield toward enemy. Linked to Ireland
39302	P556.2	Challenge to battle by hurling javelin skyward.
39303	P557	Military customs. Linked to Ireland
39304	P557.1	Warrior not entitled to ransom if captured without arms. Linked to Ireland
39305	P557.2	Pledge with enemy to be kept. Linked to Ireland
39306	P557.3	Stones erected where enemy falls. Linked to Ireland
39307	P557.4	Customs concerning single combat. Linked to Ireland
39308	P557.4.1	First to reach field of combat has choice of weapons. Linked to Ireland
39309	P557.4.2	Warrior who begins combat has right to desist. Linked to Ireland
39310	P557.4.3	Choice of weapons alternates each succeeding day. Linked to Ireland
39311	P557.4.4	"""Men's truth"" (fir fer). Challenger to single combat must submit to same conditions as person challenged." Linked to Ireland
39312	P557.4.4.1	Warrior engaged in combat with one-armed opponent allows one hand to be bound to his side. Linked to Ireland
39313	P557.5	Warrior disgraced by slaying of those under his protection. Linked to Ireland
39314	P557.6	Warrior dies with face toward foe. Linked to Ireland
39315	P557.7	Divorce given to wives before leaving for battle. Referenced in Jewish religious texts
39316	P561	Tournaments.
39317	P561.1	King is persuaded to rescind ban on tournaments. Linked to Italy
39318	P561.2	Tournament: to avenge death of king. Linked to India
39319	P60	Noble (gentle) ladies.
39320	P600	Customs. Referenced in Jewish religious texts
39321	P61	Noble woman given to foreigners on condition that thereafter their land be held by female right. Linked to Ireland
39322	P611	Women meet when bathing. Linked to Iceland
39323	P612	Trumpet blown before house of one sentenced to death. In languages spoken in Spanish, Linked to Spanish Exempla
39324	P613	Charon's fee: putting coin in dead person's mouth to pay for ferry across Styx. Linked to Italy
39325	P616	Newcomers forced to pass the night with ruling princess. Given sleeping potion. Goods confiscated for failure to consummate marriage. Linked to Italy
39326	P617	People weep when child is born. They sing and laugh at burials. Linked to Italy
39327	P621	Bridle goes with horse when horse is bought.
39328	P622	Servant must keep horns and hide of his cattle that are slain.
39329	P623	Fasting (as a means of distraint). Linked to Ireland
39330	P623.0.1	Fasting against God. Linked to Ireland
39331	P623.0.1.1	Clerics fast against God for revelation. Linked to Ireland
39332	P623.0.2	Fasting against the Devil. Linked to Ireland
39333	P623.0.3	Fasting against fairies. Linked to Ireland
39334	P623.0.4	Fasting against saints. Linked to Ireland
39335	P623.0.5	Fasting by saints causes tree worshipped by pagans to fall. Linked to Ireland
39336	P623.0.6	Fasting to enforce saint's dues. Linked to Ireland
39337	P623.0.7	Calves not let to cows during fast. Linked to Ireland
39338	P631	Strangers to be given precedence over man at home. Duke permits visiting duke to go through narrow path first. This sets custom.
39339	P632	Customs concerning recognition of rank. Linked to Ireland
39340	P632.1	Couches provided for men of high rank. Linked to Ireland
39341	P632.2	Cuts of meat distributed according to rank. Linked to Ireland
39342	P632.2.1	"""The champion's portion."". The choicest portion assigned to the bravest at feasts." Linked to Ireland
39343	P632.3	Rank among children recognized by quality of appointments and food. Linked to Ireland
39344	P632.4	Color worn signifies rank. Linked to Ireland
39345	P632.4.1	Precedence shown by position of shield (flag). Linked to Ireland
39346	P632.5	Long hair prized by Irish heroes. Linked to Ireland
39347	P633	Young not to precede old. Linked to Ireland
39348	P634	Feasts. Linked to Ireland
39349	P634.0.1	Customs connected with eating and food. Referenced in Jewish religious texts
39350	P634.1	Feast (hospitality) endures for three days and three nights. Linked to Ireland
39351	P634.2	Feast (hospitality) endures for seven days and seven nights. Linked to Ireland
39352	P641	Injured husband will not kill a naked man.
39353	P642	Only the brave to wear beards. Linked to Ireland
39354	P643	With only opponent's arms. Hero goes to encounter unarmed except for the arms he wrests from his opponent. Linked to Ireland
39355	P644	Hero unwilling to answer questions before he is dressed. Linked to Iceland
39356	P651	Customs concerning bells.
39357	P651.1	Bells hung at every corner of ship.
39358	P651.2	Bells on horse's mane.
39359	P651.3	Bells rung backward as alarm.
39360	P661	Hut for invalid to prevent noxious odor.
39361	P665	Custom: boasting of sexual prowess. Linked to India
39362	P671	Woman veils self as expression of surprise.
39363	P672	Pulling a man's beard as an insult. Linked to Italy
39364	P672.1	Fur made of beards of conquered kings. Found in Wales
39365	P672.2	Cutting off a man's (woman's) hair as an insult. Linked to Iceland, Linked to Ireland
39366	P672.3	Rubbing shaved head of hero with cow dung as insult. Linked to Ireland
39367	P672.4	Insult: lighting lamp with king's moustache. Linked to India
39368	P673	Footwashing as sign of reconciliation. Linked to India
39369	P674	Old person commits suicide when strength fails. Linked to Ireland
39370	P675	Touching head as sign of acceptance of bargain. Linked to India
39371	P676	Feet (legs) seized in supplication. Linked to India, Linked to Greece
39372	P677	Customs connected with dueling.
39373	P677.1	Duel: shooting and catching arrows in turn. Linked to India
39374	P678	Pulling out hair as sign of grief. Referenced in Jewish religious texts
39375	P678.1	Tearing garments as sign of grief. Referenced in Jewish religious texts
39376	P681	Mourning customs. Referenced in Jewish religious texts
39377	P682	Greeting customs. Referenced in Jewish religious texts
39378	P682.1	Greeting in God's name. Referenced in Jewish religious texts
39379	P682.2	Voyagers have right to ask landsman first question. Located in Marquesas
39380	P710	Nations.
39381	P711	Patriotism. Linked to Ireland, In languages spoken in Spanish, Linked to Spanish Exempla
39382	P711.1	Wolves of his own country dearer than dogs of another.
39383	P711.2	"Mother of invalided soldier says of his limping: ""Every step will remind you of your virtue.""" Linked to Italy
39384	P711.3	Common citizen saves the honor of his country. Gives his own funds. Linked to Italy
39385	P711.4	Scipio plunges into burning pit to save Rome from destruction. Linked to Italy
39386	P711.5	Roman undertakes to kill Hannibal. Kills another by mistake. Burns off his hand for having failed. Linked to Italy
39387	P711.6	National unity preserved by expulsion of all foreign elements. Referenced in Jewish religious texts
39388	P711.7	Aristotle rises from sick bed to rush into battle for his country. Linked to Spanish Exempla, In languages spoken in Spanish
39389	P711.8	Aversion to burial in foreign soil. Linked to Ireland, Referenced in Jewish religious texts
39390	P711.9	Patriotism: king learning that nation will triumph whose king dies in battle, allows self to be killed. Linked to Spanish Exempla, In languages spoken in Spanish
39391	P715	Particular nations (races).
39392	P715.1	Jews. Referenced in Jewish religious texts
39393	P720	Population. Linked to Ireland
39394	P721	Diseases (plague) invoked to combat overpopulation. Linked to Ireland
39395	P90	Royalty and nobility miscellaneous.
39396	P92	Bathing pool reserved for royalty. Located in Tahiti
39397	P93	Certain foods, ornaments, feathers, etc. reserved for royalty. Found in Hawaii
39398	P94	Garment must be removed in presence of certain high chiefs. Found in Hawaii
39399	P95	Impossible to refuse the request of a troubled nobleman. Linked to Greece
39400	Q0	Rewards and punishments. Linked to Ireland, Referenced in Jewish religious texts
39401	Q1	Hospitality rewarded opposite punished. Linked to Ireland
39402	Q1.1	Gods (saints) in disguise reward hospitality and punish inhospitality. Usually the hospitable person is poor, the inhospitable rich. In languages spoken in Spanish
39403	Q10	Deeds rewarded.
39404	Q100	Nature of rewards.
39405	Q101	Reward fitting to deed. Referenced in Jewish religious texts
39406	Q101.1	Reward like deed: liberal and munificent girl blessed with riches and prosperity. Linked to India
39407	Q110	Material rewards.
39408	Q111	Riches as reward. Linked to Ireland, In languages spoken in Spanish
39409	Q111.1	Hero made business partner of rich man. Found in England
39410	Q111.2	Riches as reward (for hospitality). Linked to Ireland
39411	Q111.3	Riches as reward for help against robbers. Linked to Iceland
39412	Q111.4	Gold ring as reward. Linked to Iceland
